source|target
27f67358-83be-5303-b8bb-d1061e1c8d7a|9decf71d-ff1f-5bc4-b7af-b68a66db7f30
e9a7161d-1181-5d18-ac60-7c6474b08b8c|4303d0b6-a27d-50d0-8328-73ff56e3e689
3903e312-7d07-539a-b005-7ec5cecb18f7|27366fad-9d47-5b1a-bfa9-1b80ec201b04
ce718e2b-ebfe-5cc9-8fca-fb62157ca238|72c152f4-e15c-5ac2-a216-0329667d218c
19e3d7ed-ff13-578f-9c1d-63898c64be65|538b8b34-d925-588b-bafd-53546b72f8e1
5281aa7b-edb2-5d13-8753-ad91c3a408ef|c5ab0417-7445-501a-8756-efac81019599
8cee156f-b943-5c40-a323-0e9378d6bb6b|8cee156f-b943-5c40-a323-0e9378d6bb6b
b5ad8214-7885-571f-bb8e-d6e57eb8e8ab|c5ab0417-7445-501a-8756-efac81019599
e7e98e43-7120-532e-8a59-82d95efba671|e7e98e43-7120-532e-8a59-82d95efba671
591c1fa4-6885-574f-9ec4-4f7533346e25|538b8b34-d925-588b-bafd-53546b72f8e1
71823dc4-d6a9-5723-b43b-e8a5339e7bb1|be358770-c0be-534c-aced-17cf753d2396
9220e9fa-aff9-5f02-b27c-bac459f345d6|9220e9fa-aff9-5f02-b27c-bac459f345d6
