source|target
be358770-c0be-534c-aced-17cf753d2396|46175a36-4281-5760-b85d-4286b4d12a48
be358770-c0be-534c-aced-17cf753d2396|56b85416-d30a-53d5-958f-04e9de706651
be358770-c0be-534c-aced-17cf753d2396|719010f8-801f-5164-8955-91b8293eeb98
be358770-c0be-534c-aced-17cf753d2396|d7dc8a60-f878-5ed4-adca-90ee9bbe9f7a
be358770-c0be-534c-aced-17cf753d2396|ab75b11c-7651-5284-a37d-f6e10c0c22d7
3306aca4-d957-5366-9e95-0ef3effb3e83|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
3306aca4-d957-5366-9e95-0ef3effb3e83|7d1a95c8-91f3-52a0-a4d7-0048536ef748
3306aca4-d957-5366-9e95-0ef3effb3e83|15fddfc6-ba86-5d52-8684-662d6a89db29
3306aca4-d957-5366-9e95-0ef3effb3e83|2cb33705-db72-527d-a7df-3d7121e5da5e
3306aca4-d957-5366-9e95-0ef3effb3e83|a7ae5ec5-3231-528e-b8be-7758f7a584f2
11c51c5a-3ab4-506d-963c-480e81199b0d|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
11c51c5a-3ab4-506d-963c-480e81199b0d|2e752d25-96cb-5555-8408-a9f9ff17525d
11c51c5a-3ab4-506d-963c-480e81199b0d|dc638fbe-1720-56ff-873f-563bcc3c959e
11c51c5a-3ab4-506d-963c-480e81199b0d|35b5d7a1-f588-5325-b5c1-252cfefb97fd
11c51c5a-3ab4-506d-963c-480e81199b0d|08b350b7-f2f0-5db8-ba7d-d833857dd718
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|d1cf3d3f-fc74-5e65-bd65-bbc36cfd13ee
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|1401495c-25de-52dc-811e-41b2d4574604
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|03c95a48-1e75-5a89-a997-7f957088beca
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|d27c439d-bd5e-5f85-8ace-9b9d51eda495
89076307-1a7d-5a89-806d-b8e4f0992933|4b7be595-0a74-5643-9ff3-845cc1ad4fa4
89076307-1a7d-5a89-806d-b8e4f0992933|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
89076307-1a7d-5a89-806d-b8e4f0992933|9aa11e00-05f0-516c-8c77-5b13cbf6cbdb
89076307-1a7d-5a89-806d-b8e4f0992933|0acbc16c-dd23-52db-8af1-1d4640da7d8b
89076307-1a7d-5a89-806d-b8e4f0992933|a9b424d0-4ae3-52c0-b751-cb29af174335
a257e631-8655-5cb4-9a54-d897e9c2dc1d|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
a257e631-8655-5cb4-9a54-d897e9c2dc1d|9dec5dad-6637-5f50-ab24-bbb5a7827bfc
a257e631-8655-5cb4-9a54-d897e9c2dc1d|c130cd4c-fc89-5835-b5b0-44f1da09bd9d
a257e631-8655-5cb4-9a54-d897e9c2dc1d|904abffe-910d-5e5b-8637-12f1d6def4e7
a257e631-8655-5cb4-9a54-d897e9c2dc1d|2369a93b-63b5-5664-8352-bc61a1b16baf
5af0c511-cc44-57ef-aaa4-89f255fd3f59|ec91f7be-7446-53be-ac9e-dfd904a345c9
5af0c511-cc44-57ef-aaa4-89f255fd3f59|01f77dd6-c3cc-5321-aa41-00f827188fc2
5af0c511-cc44-57ef-aaa4-89f255fd3f59|754574cf-866c-5e9b-9afd-6f73892ba2c8
5af0c511-cc44-57ef-aaa4-89f255fd3f59|be360ad8-6b86-539c-b6eb-6a753832f772
5af0c511-cc44-57ef-aaa4-89f255fd3f59|41d54ac5-f7c9-5652-b5d6-50e9cba1456f
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|e1039c7b-b62e-5399-816d-e6c845d939c9
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|e73c7f1b-54ca-5dcb-9bd7-cd4beff6b369
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|86042881-078a-5410-a0f4-0dc08984e276
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|d396ad24-d1cd-57f2-98af-3d21654f45fe
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|6a2c7e8c-851e-5ded-bcf6-56d15fd47055
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|bb9cf4a3-48ea-5f1d-91fc-49e11417bee1
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|f25eb46d-4f3d-57d5-b38d-a03d5388d93c
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|803619ff-30fe-5eb6-afb0-2522fb5b7a97
0371c4b7-c22e-5ee1-8a84-8ad51283e21b|0851bb6a-a054-57a9-971e-4ad27d2f0a5b
0371c4b7-c22e-5ee1-8a84-8ad51283e21b|8c2c0a74-bbed-52fd-bf95-7e0aa85e5bfc
0371c4b7-c22e-5ee1-8a84-8ad51283e21b|b7be81d7-015d-5da9-8c63-ee53749b434a
0371c4b7-c22e-5ee1-8a84-8ad51283e21b|8f6bdda1-2c59-5f5c-95e4-7ef2e663d4b4
0371c4b7-c22e-5ee1-8a84-8ad51283e21b|c9aeaf07-2fe2-5234-be6b-936d7f5dfdc6
c084ee8a-70e9-55e6-8575-70787ed41d77|fe91e5b4-f20a-539b-a8ec-18650b8c7810
c084ee8a-70e9-55e6-8575-70787ed41d77|f535f6cc-aad5-5164-8fe4-38d85df3e556
c084ee8a-70e9-55e6-8575-70787ed41d77|70414204-e153-5861-ad35-03d5f62d8a4c
c084ee8a-70e9-55e6-8575-70787ed41d77|4cfcef34-15b1-5d2c-8a53-cdab0915811b
c084ee8a-70e9-55e6-8575-70787ed41d77|12d99a08-e9b7-5588-b33e-9496963e6a0b
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|53b0e13b-bb39-5bf5-9fb1-0ce731895d25
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|2f92be85-a018-5673-ad8d-6c1f9908b001
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|9526740f-2157-5d28-bfaa-0379fd1a284b
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|7c5ed6a0-a8a3-5117-8036-f9c6c2083867
c229bdbd-e157-581b-a314-c77bc8d50f49|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
c229bdbd-e157-581b-a314-c77bc8d50f49|1d6c3348-7325-57f7-a0cc-2fa117fa4dd7
c229bdbd-e157-581b-a314-c77bc8d50f49|0feb7fe7-3027-5fb2-be39-80e45c2737ec
c229bdbd-e157-581b-a314-c77bc8d50f49|6b980efd-90d0-5640-a617-a977265ccfb9
c229bdbd-e157-581b-a314-c77bc8d50f49|edf4d9bc-8daf-5ddf-8150-34fe19ff4d38
5bf73003-ef64-5a6a-860d-4614fe34dab8|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
5bf73003-ef64-5a6a-860d-4614fe34dab8|60ed6fbf-6771-51da-9244-f3a8aaf66bf1
5bf73003-ef64-5a6a-860d-4614fe34dab8|3adba9a4-188c-57de-b94c-20d388dbc2a9
5bf73003-ef64-5a6a-860d-4614fe34dab8|df95af93-fa6f-5c07-a4e2-999011d770d5
5bf73003-ef64-5a6a-860d-4614fe34dab8|15fddfc6-ba86-5d52-8684-662d6a89db29
7679c89c-8853-5cd5-86eb-0a7b04ce080d|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
7679c89c-8853-5cd5-86eb-0a7b04ce080d|e605a480-f560-53d0-afe8-5a40e92f2d0f
7679c89c-8853-5cd5-86eb-0a7b04ce080d|801d252d-30ce-56a2-b23b-5356cd7533a3
7679c89c-8853-5cd5-86eb-0a7b04ce080d|fb14c1a0-c976-569a-98e7-c6ccfb3bd7d4
7679c89c-8853-5cd5-86eb-0a7b04ce080d|79cf974b-676d-5078-8b96-4008085b4434
27f67358-83be-5303-b8bb-d1061e1c8d7a|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
27f67358-83be-5303-b8bb-d1061e1c8d7a|a44c9af9-3103-52a7-b086-284b70796b37
27f67358-83be-5303-b8bb-d1061e1c8d7a|38503bcb-ebd1-55eb-819a-f1cd2c710261
27f67358-83be-5303-b8bb-d1061e1c8d7a|d9b58cdc-7ad9-5040-b406-f350cc3c49d6
27f67358-83be-5303-b8bb-d1061e1c8d7a|2f92be85-a018-5673-ad8d-6c1f9908b001
f756e97c-7e25-595a-bb8b-d84d607f0355|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
f756e97c-7e25-595a-bb8b-d84d607f0355|3c2f49ef-6139-530a-8d66-a64b134ab141
f756e97c-7e25-595a-bb8b-d84d607f0355|54393d93-04b1-51c5-83d4-140c0bb56a89
f756e97c-7e25-595a-bb8b-d84d607f0355|9e848f93-c182-5987-83d6-00a9b89779f6
f756e97c-7e25-595a-bb8b-d84d607f0355|b09252de-e5dc-5ef8-9ba0-a402b5c2f803
d1768946-ce98-5523-95b4-e3796a85ba96|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
d1768946-ce98-5523-95b4-e3796a85ba96|c68adc48-a8f6-5b8d-a6cd-8315ed096f36
d1768946-ce98-5523-95b4-e3796a85ba96|ca55a627-4216-5008-bede-867caa8c9ce4
d1768946-ce98-5523-95b4-e3796a85ba96|63a9b76b-79de-54ea-acb8-f86f6729314c
d1768946-ce98-5523-95b4-e3796a85ba96|d8299b36-bf14-5f13-8523-5e7c0a775d79
f7fdccef-9e9c-58ac-9ee1-e0204907cefd|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
f7fdccef-9e9c-58ac-9ee1-e0204907cefd|22bd5c67-e3e7-5014-a847-edcdc660ffcd
f7fdccef-9e9c-58ac-9ee1-e0204907cefd|99b614b6-7322-5a11-8af9-a728fef461c3
f7fdccef-9e9c-58ac-9ee1-e0204907cefd|388ab53f-4aa0-5a62-8191-8ce4551bbb0b
f7fdccef-9e9c-58ac-9ee1-e0204907cefd|42ee6d1f-9e79-5bf8-8d2c-1343c7727807
538b8b34-d925-588b-bafd-53546b72f8e1|37800e12-3155-5aee-99f6-0691a3764299
538b8b34-d925-588b-bafd-53546b72f8e1|0cfb5db9-89aa-512e-80cf-195b7c0e49c2
538b8b34-d925-588b-bafd-53546b72f8e1|2cc67f67-f904-537f-866b-13500e2062fe
538b8b34-d925-588b-bafd-53546b72f8e1|ee529b10-286c-5193-b372-bdc2b3757741
538b8b34-d925-588b-bafd-53546b72f8e1|fdcb0027-13dc-5452-b10a-6cb9093c44f2
d33778dd-6b6a-5e6f-ac6a-c86f52877538|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
d33778dd-6b6a-5e6f-ac6a-c86f52877538|716c14dc-1a50-55ad-8d74-dd2d00fe6e69
d33778dd-6b6a-5e6f-ac6a-c86f52877538|f32cf3ba-83b8-526b-a275-42d844acde87
d33778dd-6b6a-5e6f-ac6a-c86f52877538|76fa3d32-759e-5c0a-a64b-b106add1a99e
d33778dd-6b6a-5e6f-ac6a-c86f52877538|ee451bf2-06ae-588c-92c8-d970118d3b68
27366fad-9d47-5b1a-bfa9-1b80ec201b04|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
27366fad-9d47-5b1a-bfa9-1b80ec201b04|60f45453-66bf-5f95-b4bb-e2d626089e55
27366fad-9d47-5b1a-bfa9-1b80ec201b04|fd2ed201-0e88-5d80-ac83-eee3e77454f2
27366fad-9d47-5b1a-bfa9-1b80ec201b04|01b07f83-a622-59c5-84d4-e14e32f564c7
27366fad-9d47-5b1a-bfa9-1b80ec201b04|659db355-be2a-5569-9407-96830035e360
5acd9cab-7ca9-5a9a-bac1-6193de6bd1de|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
5acd9cab-7ca9-5a9a-bac1-6193de6bd1de|77721fef-8c63-57e4-9e71-97406b82a260
5acd9cab-7ca9-5a9a-bac1-6193de6bd1de|a0c12119-6aa0-5847-b10f-238bb0fb36f7
5acd9cab-7ca9-5a9a-bac1-6193de6bd1de|bb036c67-9cf4-5fcd-b3b2-7971a55ec4e3
5acd9cab-7ca9-5a9a-bac1-6193de6bd1de|5f9c2b26-2d62-50e2-bff1-9f16ef712cf8
570fb8ea-0f41-5981-9d50-255e07dad8a6|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
570fb8ea-0f41-5981-9d50-255e07dad8a6|e605a480-f560-53d0-afe8-5a40e92f2d0f
570fb8ea-0f41-5981-9d50-255e07dad8a6|a10514f6-029b-52a3-9422-8d628e96bdb4
570fb8ea-0f41-5981-9d50-255e07dad8a6|741eebfb-aaf5-53ae-8fb0-4f1d78906d7e
570fb8ea-0f41-5981-9d50-255e07dad8a6|c68adc48-a8f6-5b8d-a6cd-8315ed096f36
91b5a4b1-5f95-5e8e-adf2-fb776491eef9|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
91b5a4b1-5f95-5e8e-adf2-fb776491eef9|574b5983-e71f-5a4a-9891-adcb4ac608c3
91b5a4b1-5f95-5e8e-adf2-fb776491eef9|0992599e-cb9d-588f-b2ad-f2c1837db7a2
91b5a4b1-5f95-5e8e-adf2-fb776491eef9|f22961a8-5251-540a-bd05-3840f1c380b5
91b5a4b1-5f95-5e8e-adf2-fb776491eef9|432c3c9f-2dbf-5045-a784-acadd9c77ac4
