source|target
be358770-c0be-534c-aced-17cf753d2396|41177ff2-ba2b-5574-b663-9689498f0829
3306aca4-d957-5366-9e95-0ef3effb3e83|fc214242-7f6c-5bd1-a1a0-0a10c379cb79
11c51c5a-3ab4-506d-963c-480e81199b0d|b6e3a9e2-fbe7-5c0a-a505-4bb3b2c5d310
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|cc76b09f-595a-595c-8c43-3cce8b1ae47e
89076307-1a7d-5a89-806d-b8e4f0992933|8df236e2-a898-5b64-bdc0-1f86f3b0d5a3
a257e631-8655-5cb4-9a54-d897e9c2dc1d|4dbea1f2-ba40-5fe0-9dcd-1ee4311a0db3
5af0c511-cc44-57ef-aaa4-89f255fd3f59|928f5863-e5e3-57a0-bdd2-700ef5af02ca
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|dd08ecb9-7e43-5f66-b593-349bb0486f25
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|e95bfb79-be04-5e0a-8c33-3ac619011f90
0371c4b7-c22e-5ee1-8a84-8ad51283e21b|3025df8c-e37d-5e8d-9849-90a54d4c2291
c084ee8a-70e9-55e6-8575-70787ed41d77|ad1a9098-7d15-51d9-a2c1-a8c5c55e40bb
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|b7318371-148f-5852-99f5-e3ad9aa7f8a5
c229bdbd-e157-581b-a314-c77bc8d50f49|a2b84328-7ff9-5ddf-9bec-44d5299f5fd3
5bf73003-ef64-5a6a-860d-4614fe34dab8|106acd7a-c03a-566d-bd90-aec365cde3d7
7679c89c-8853-5cd5-86eb-0a7b04ce080d|ee55481a-618f-588e-ab37-3f45b01d2232
27f67358-83be-5303-b8bb-d1061e1c8d7a|293b24de-3fd7-58ea-88ad-24bc2e20e269
f756e97c-7e25-595a-bb8b-d84d607f0355|16abbd78-b361-5bfa-ab2b-4f64f61f1dae
d1768946-ce98-5523-95b4-e3796a85ba96|9889f8df-3138-53db-9a05-6424acdbcee7
f7fdccef-9e9c-58ac-9ee1-e0204907cefd|e2aa7024-7423-5dd9-af18-8a1f89ae72e7
538b8b34-d925-588b-bafd-53546b72f8e1|a457ae18-3d53-5606-a49f-e3e1b5751f62
d33778dd-6b6a-5e6f-ac6a-c86f52877538|8462d553-c67e-5afd-8991-86e5bd2ccbc3
27366fad-9d47-5b1a-bfa9-1b80ec201b04|9b1a1ec9-d766-5bf7-84c2-ac516c36ea84
5acd9cab-7ca9-5a9a-bac1-6193de6bd1de|f537c3f9-6550-5fae-8fb6-f152ab9b8a21
570fb8ea-0f41-5981-9d50-255e07dad8a6|f6ad863d-cacd-54e2-bd80-87e1fbe2166e
91b5a4b1-5f95-5e8e-adf2-fb776491eef9|9eac8033-bf66-5379-9139-5b694bbbc644
36f81dac-f33e-5ad7-9b21-f831176db6dc|80170b2e-3e72-52fc-91be-b1cf2156c44c
cec41564-ffd6-5f13-918c-81b05b071186|60f92c9e-dfce-59ce-b792-384d8506e2b3
72c152f4-e15c-5ac2-a216-0329667d218c|a89e6f7c-05f2-5332-ac18-fe82cbad6877
16b3a910-0eb4-5df9-9a8e-f8248552848d|fc4fee86-f3df-55d0-ba90-ebbb23b5664c
ff894488-f94f-5bbd-9e4d-00e23974ccf1|20820f20-967e-5b90-b04b-749e1b44b231
1fa7c5d3-113e-5195-aa84-38a5aed75444|762e507d-fd56-56cd-bc5e-eea417faeb2c
79866fc5-3bca-55ff-bd95-90a9c8e678b2|fbc45605-59c4-54fd-bac9-77fa064972a5
4303d0b6-a27d-50d0-8328-73ff56e3e689|1433a044-d92e-5b9b-bdc6-a5f774e845d5
02441855-c966-55b1-81ec-90304764011b|89dcb6f6-19d7-54b4-9352-f9dcee3678d1
e5d11fce-292a-56e7-a7ed-9f238b68332f|5f2a0547-5091-54a0-a7dc-b3a40e93e0fe
9f32d05f-dbaf-5ea5-a93e-1b436088c93b|a910cb90-b7cc-5b4c-994c-c8e19bdedc7f
aeb988a1-8112-5b02-b87c-1dba977e8aa8|00a9bee8-cd1c-5ef7-8378-4c4a3af43547
0b9ff581-bcdb-5d1d-8454-7d1c07a771a9|d115cee9-2773-5507-b6ce-ce3657a61370
df996b89-bf39-5f62-948e-e0a99977ecfd|302de0f7-1196-53bb-889d-f3df206a2b0d
25a5dfef-2a70-5629-b1fb-1bc3ae26c09f|fc4fee86-f3df-55d0-ba90-ebbb23b5664c
b96f45f9-f570-5137-a6e8-87f09274ebb3|6f492e9a-a5fa-5fc0-bc49-29c9c0de671e
85503c78-2638-5081-9e38-b3d6bf9793dc|e2cc1a4f-8868-576e-bb30-ccff3b09940d
e3d3010c-d623-5d7a-9a6f-35323ab904c9|cb7052d7-8e14-586d-86e0-5dadf9429cc4
e9a7161d-1181-5d18-ac60-7c6474b08b8c|3e960857-4808-56e3-bfb7-f0f923268327
7d813974-b532-5e8e-9958-f16d014b7394|106acd7a-c03a-566d-bd90-aec365cde3d7
3903e312-7d07-539a-b005-7ec5cecb18f7|e20e5a0f-f4d2-5f3a-8235-09fcc97b6749
a18624ce-3d32-507f-8a96-4cd35c6cdc94|48fc22b3-b9d8-51cb-a94e-8a51aa71580d
a12cb4ac-0dfb-5f9b-9f11-9a0e881949ae|e757f1a1-4196-5939-ae76-56f6eece4e64
19aa7194-2413-59f6-b5a9-539316786f6f|4d684eeb-8587-52f9-92a8-2e546aec7421
c5b84731-6c84-5e05-b620-6669e49b1e87|a8f9e5d4-f6c7-53e0-ba6d-d580f44bfcd2
45818540-6674-51ce-bc2f-8adaf6f0630f|a03ab34a-3b22-5cc9-8c38-daeb9c02fa4d
ed8055e1-e343-54e5-b6a9-56d058dad194|fdaafb44-eabb-5a0b-83a6-6a939a8d11ca
7336d57f-43a5-5f6b-a5bc-57b290145cda|be5d6bc5-b6f5-58aa-a365-d8e0039c946e
c5ab0417-7445-501a-8756-efac81019599|24735d28-1ca1-585e-b7d4-c30711b8c7f4
6b801da8-897e-5b38-b3c0-62b4ab6077e1|443f575e-41fb-5e65-8af0-3415c457be35
852cfead-950f-5ce7-8e9f-7b6b53f1b596|d1724881-e609-51d2-9fa0-f4ab6deaf879
cec09e6a-a58c-5bd8-a95d-6de7fc18b91e|3fd49a67-eebf-5280-8267-345b96eb288a
be8bf615-6f44-563f-b05a-764179768494|8224a47f-e345-5771-a671-b59e27917f01
7464cc70-abca-5122-bdf8-5e9e47d3bd41|001a2fb0-bf60-554a-8b13-ebcc5ae41c5c
257e68db-3eca-5c2b-a8dd-0670daf02e12|3096f822-0c1a-51b3-adbd-63b914741fcb
b6fd1cf3-f5aa-5a2a-81b5-7363ea2c44aa|88d8800f-e8b4-59cf-8bb6-ac0cfcab48fc
2d60f894-2aa3-5060-950d-4e1f46cb5c4c|92aefbc8-6a85-577e-873a-ab0bf213e6b6
7e54bbdf-88ce-53c0-8367-06094a5634fe|4a2ed31b-1ad9-536d-a05f-491497f9e911
0c167b95-0992-59a6-86e6-bdf1935768e7|cffc74c0-d99d-58d8-af97-a4c2ebc73f28
c145a936-3487-53f4-8e79-74ef84df25ba|3b40dd89-817d-513b-aebb-e90495766a48
fafc10f1-74df-5627-a721-89fdf52b9bee|88cf996c-6c66-53ca-bbeb-b8b3f30e707b
c9a7fb50-d222-5593-8bab-94d873dcec2e|7d814873-b744-5ac8-838e-3deaa5cc113e
c56515e5-d741-50d1-8e98-0247488ea450|67b3ad9a-ce77-5f2d-a8e9-1e793844461e
debd9eec-503a-523a-80e4-15410a2d6edb|89349f22-6e2b-50b1-88ce-d6e898bf4c7d
ce718e2b-ebfe-5cc9-8fca-fb62157ca238|43fcfc7d-f2f5-5659-bbb6-4b7f007fc40d
faf44597-a5fd-5c6d-82be-f7c2bae1b2a8|08bafaf8-7cdf-52cf-ac17-bfad7769e2b3
13d8f711-860f-5a3b-856f-ddf4b38cede7|2a30012f-09e0-5ed6-9831-519223d862ee
7f212a83-25e9-534d-a751-23baedb19492|68f93ac2-ceb8-590f-8fc2-c365ec6ea9d8
2f1de64d-7a0b-52d2-a71b-b2ed36334e65|b7c47cbb-4196-5f54-8e93-243768b01609
323f7f75-f334-5804-b031-bb8b1f6d563d|9ec3e4f8-13e8-5795-ac36-688426acfb8a
3ae1dae8-54fe-5160-8d98-8fc70518ce5b|9edb2d41-ddaa-546f-b4bb-871221eb7f7f
19e3d7ed-ff13-578f-9c1d-63898c64be65|1d4dc628-5223-5c7a-8e32-279b05e07dae
6cae13c9-9af6-5461-8749-57dbe935f3a8|8cfd5ff4-d3ec-5a5e-bb5a-14ea4de28e41
b5e2f9cd-9696-51b1-8b91-f6760b863ece|6adab221-5a24-5f9a-89b9-2b55db089eeb
257c00c0-89de-5268-8b90-131dd79205d6|eb442cd7-6de0-52c8-8469-ea55ff081ae5
d99c679c-0bdc-5cd0-a780-b6a2387144eb|9def9610-8323-55d6-a758-db761bf61501
3d44812e-0506-5b82-b79f-32194c72258b|30cab616-de63-562c-83de-c58e961fbdac
7deed2f4-ab43-58ce-a26e-70266636f14b|776b006b-0b32-5e0b-89ec-329bd0931cc2
5281aa7b-edb2-5d13-8753-ad91c3a408ef|8257ec1d-e83b-5101-8841-f73cd1646136
8cee156f-b943-5c40-a323-0e9378d6bb6b|a0130409-7496-5c79-97f8-b42fd1c1621f
b5ad8214-7885-571f-bb8e-d6e57eb8e8ab|fcf48faf-0d46-57b3-b229-e7c7ad878785
dcce33ff-a6a5-5563-85f3-4efa2a4863c6|4bc22b6b-5a3d-52e9-a9f3-e644ee14187d
7334f68d-fe0e-5a8f-ad8a-26476a8a3cb7|489ecc09-8b21-5cb7-8ef6-8927188dd96f
e7e98e43-7120-532e-8a59-82d95efba671|b8cff333-eda7-5473-b9b0-4f1a86d7fb58
b47576a5-a3fa-5f9c-8ece-1953a9f6653c|f9616854-bbb5-55f4-a944-fdd66dd7f34b
08f7fd69-4f54-57b2-a5b9-f84c056ab92f|a67f14c2-9ec7-5118-bea2-d3ce358c798b
4e2705f2-6f63-5264-9aa0-78defe46b86a|9b62f136-6ba8-5da2-988a-d21ac184a2c4
9c4e2d87-5bce-5a63-b8b4-293f2b3ebc41|0b530302-859a-5bd0-bd0e-3a3d7edd1b22
b5df9f40-dcf3-565e-ba7b-7128203ad3e2|eb1986b1-4503-51ca-a379-12d226e357a6
e1c4d452-15ee-5baf-9057-47d7ad0c4ac6|2276b63d-917c-594c-ad35-c39192851a9b
d5617d85-7698-5a36-a302-4a6864c67aae|d299f859-df58-528a-8be9-f006c842f62e
591c1fa4-6885-574f-9ec4-4f7533346e25|8e4d0b7f-2ae4-5c98-ab28-523acafab771
b00ce766-2716-5cc2-98ed-13375257a479|277ffc69-bd44-504c-8fb9-2a160a712cd9
479cec88-0c7e-5ce0-b0ce-bc3da9388715|b18f1663-940b-5847-9406-7e9e59656d65
ec118c62-15bd-5fa5-a1ba-5df9463936e0|4560d0e5-1e4c-584e-82a0-2fb28093f6c5
8ad7a29b-5e8d-553b-859d-1fd43ecb70a0|6e4f09d6-d2bd-51cd-bee2-e328a1797a8a
18311aa5-d82d-54f4-a0a7-2bfea6753af5|690438cf-59d5-53d6-b1b5-f0bbcdcba613
71940a3f-1244-598d-95f9-0838896fa0c8|71940a3f-1244-598d-95f9-0838896fa0c8
761ab75b-0aeb-560d-92f4-d46ecaba0412|82876792-faf6-53b3-bfca-ee81e21c3365
07169962-b926-5ec0-9d24-77804ce438be|807e8c06-6071-5dc9-bf08-ca6bb848db82
521b04ce-540c-556b-8564-6f0fb84829f0|809171a3-ebd7-59b6-b234-1965c9a80ee5
a5459a01-0253-5d32-8025-5a6a5b08aedc|199f6dfd-a6ea-5996-9eac-b88a1f5b3c7d
71823dc4-d6a9-5723-b43b-e8a5339e7bb1|9f5daf67-6224-563d-983a-132e5fc7f1d2
b7c58b35-4817-5a74-b050-6795220957d6|8eb46fbf-3886-505d-83c7-18bb845f6d1a
c638efb6-1911-500b-893b-d2fa4e7cd816|7167e106-7fa1-529d-ace1-a192d48f9f43
e5c627c1-d755-53bb-9272-54a0a2e294be|0d493110-24ea-5b9b-818d-08b839eed429
a65cf2a3-5a71-510b-b2ce-1340d07b333b|4854e21f-09f3-5a67-b02d-379120279df7
05e7c88e-975a-5001-96b6-d91c44554aa7|e60098f9-ef90-50b6-9692-5f76c2e846c9
e2048e62-c1d0-5e15-84ce-3a0a10a4af28|fba52580-e743-5f23-a902-2d0dd3c88d21
b741a5ea-a8a2-5cfa-8bd0-def8538b7fcc|dcc9b6b4-3d45-53d6-aca0-20da4f751b0c
a5fc3e5b-c50b-558f-a371-4e7ab480df84|992329bf-cc57-55bd-9d79-8c97d9423c4b
6fce2b81-dcb8-5122-b567-783bf0c72d4f|9396b49b-380f-522c-a1ef-a9fe21fe5ed2
910f76e7-a566-5a06-a82b-223ea6f474c2|ac0beaf9-63ba-504c-b7fe-dbc55be23fc3
113009e1-9d97-550e-920f-1ff8b1d675f4|4df9a659-3fc9-5359-83aa-89e56f1edeb8
b02f8814-ee06-5c98-b083-0f6dbda3f020|9086b98f-f21f-517b-9d6f-8c96d9fa4722
3aee1322-a73c-5c4f-bc31-188b3056113f|f89e2f4a-f910-5542-8e01-3009bc843b65
2767e0ca-e154-5653-947b-32f9874740ba|0a59b6dc-5000-5c6e-bcb7-229bb96bbe53
93779d64-bb41-5658-8d87-84be439b76fe|af222aa3-0628-5ded-8a42-dda4da22ebef
77c7c8c9-e27d-586a-946d-ecbddd29a3a8|34126773-1233-571f-8c0b-84446555ab98
12300048-e5cb-5322-af6d-034ad0d186fa|08f0244c-02d6-5e84-bbdc-42ab0ab4d6eb
437b471d-c084-56e5-9409-5a6d5f3afeba|7d80185f-0a2d-5436-8c8f-9256e518daa8
c2e8e422-7461-5a74-ae7b-744662c058b2|634755a3-f7c3-5ab0-8ff7-3799e9827033
4dfc4653-ea25-5a02-a503-ccffbd41b74b|854b8111-9d7a-5618-84d4-9c6471815144
172ace0f-6fd5-5170-9977-3ad8b604a923|8f4b4761-4c57-51a9-9432-caa5051acd03
47865235-f272-5186-b89b-e08721ce2c3f|ab12d394-5012-5c6f-9da4-5cb1efe83441
36b4a881-40c8-5fc3-a04c-4345d6db9b33|98447463-3199-5619-9fcb-dea45033a2b1
a02ffda1-3532-551a-ba06-81e64f58420e|39d6aebb-d44e-5852-aab3-f851a688b67b
34e3e49c-b758-593b-bef9-8c7f04d29d10|505b85ea-be03-599a-9382-5e8da23e3eeb
9220e9fa-aff9-5f02-b27c-bac459f345d6|1556e6a8-6f50-5bfc-bb86-a59394b8127b
a931de24-62fc-5145-8a0f-8e6354e0a3b9|c509a080-5b05-57a0-82d9-fbad631cd16f
421c598a-3238-5ffa-b0c1-aefbd0ecd126|2ae54d37-17c8-560d-b077-c376fd223bee
6bd07b97-425d-5f09-9faf-fe16f372b0d9|4efc7864-74fa-5b0f-b02f-d7ce625311ec
