id|name|description
32545439-d5a9-533d-9b41-fa0fc5274da1|Task Splitting Technique|The task splitting technique is designed to handle the skewed workloads of local search tasks brought by the power law degree distribution in real-world data graphs. This technique splits large tasks into smaller subtasks to achieve a more balanced workload distribution among reducers.
d9a3aa25-e33b-5dad-ba54-29d43f6924e9|Local Database Cache|The local database cache is designed to reduce the communication cost by storing the adjacency sets fetched from the distributed database in an in-memory cache. This cache can capture both intra-task and inter-task locality, reducing the number of database queries.
e4196641-1351-54b1-a788-8ba54aae1a40|On-Demand Shuffle Technique|The on-demand shuffle technique is designed to reduce the communication cost by querying the database as needed during enumeration, rather than shuffling the entire data graph before enumeration.
52035306-c5fe-536b-87ef-bf41991ad57f|Backtracking-Based Framework|The backtracking-based framework is designed to efficiently enumerate subgraphs by incrementally mapping each pattern vertex to data vertices in the match, following a given matching order.
7dd64307-dbd4-533f-a2d1-b94e2cd2d36b|On-Demand Shuffling Technique|The authors propose an on-demand shuffling technique to minimize communication overhead by storing the edges of the data graph in a distributed database and querying the database as needed during enumeration. This approach avoids shuffling the entire data graph before enumeration, reducing unnecessary data transfer and communication costs.
9552912a-4059-512a-b763-a63ac86316e2|Symmetric Rectilinear Partitioning|The authors propose a novel symmetric rectilinear partitioning strategy to address the scalability challenges in graph processing. This approach partitions the graph into smaller subgraphs, allowing for more efficient processing and reducing memory requirements. The symmetric rectilinear partitioning strategy generates blocks with matching source and destination vertex IDs, reducing the amount of edge traversal and memory usage. This approach is different from existing methods, which often use 1D partitioning or other techniques that may lead to poor load balancing and increased memory usage. The paper demonstrates that the symmetric rectilinear partitioning strategy achieves better performance and scalability compared to existing methods, with up to 18x speedup on large graphs and up to 22x speedup on smaller instances.
63c7907f-10c8-5352-98db-0816c5689d28|Block-Based Triangle Counting Formulation|The authors propose a block-based triangle counting formulation to address the scalability challenges in graph processing. This approach divides the computation into smaller tasks, each depending on three blocks where edges of a triangle can appear. The block-based formulation uses a divide-and-conquer approach, partitioning the set of triangles in the graph and streaming these small tasks to compute resources. This approach is different from existing methods, which often use 1D task-based approaches or other techniques that may lead to poor load balancing and increased memory usage. The paper demonstrates that the block-based triangle counting formulation achieves better performance and scalability compared to existing methods, with up to 11x speedup over the fastest published end-to-end CPU execution times.
5bb12fa2-b5b1-5093-b515-8eecec120a31|Dynamic Task Scheduling|The authors propose a dynamic task scheduling scheme to address the scalability challenges in graph processing. This approach schedules tasks on multi-core CPUs and uses multiple streams on multiple GPUs to effectively utilize the massive computing capabilities on the GPUs. The dynamic task scheduling scheme uses a lightweight scheduler to schedule tasks on available devices, taking into account the workload of each task and the available resources. This approach is different from existing methods, which often use static scheduling or other techniques that may lead to poor load balancing and increased memory usage. The paper demonstrates that the dynamic task scheduling scheme achieves better performance and scalability compared to existing methods, with up to 5.6x speedup on the Friendster graph.
04fc1ddc-1e60-5bd5-b7d4-d68dc65536d9|Hybrid Execution and Cut-Off|The authors propose a hybrid execution approach with a cut-off mechanism to address the scalability challenges in graph processing. This approach assigns tasks to CPUs or GPUs based on their workload and available resources. The hybrid execution approach uses a cut-off mechanism to determine whether a task should be executed on a CPU or GPU, taking into account the workload of the task and the available resources. This approach is different from existing methods, which often use static assignment or other techniques that may lead to poor load balancing and increased memory usage. The paper demonstrates that the hybrid execution approach with a cut-off mechanism achieves better performance and scalability compared to existing methods, with up to 10x speedup on the Twitter graph.
bd552936-5761-5c8e-b693-91e8332deda0|Block-Based Triangle Counting (bbTC) Algorithm|The bbTC algorithm is a novel approach to triangle counting that addresses the load balancing challenge by partitioning the graph into smaller blocks and processing them in parallel. This approach ensures that the computational workload is evenly distributed across processing units, reducing the likelihood of bottlenecks and improving overall performance.
