source|target
32545439-d5a9-533d-9b41-fa0fc5274da1|9f7da148-c19c-57ff-8034-84b2b1588243
d9a3aa25-e33b-5dad-ba54-29d43f6924e9|9f7da148-c19c-57ff-8034-84b2b1588243
e4196641-1351-54b1-a788-8ba54aae1a40|9f7da148-c19c-57ff-8034-84b2b1588243
52035306-c5fe-536b-87ef-bf41991ad57f|9f7da148-c19c-57ff-8034-84b2b1588243
32545439-d5a9-533d-9b41-fa0fc5274da1|15fddfc6-ba86-5d52-8684-662d6a89db29
d9a3aa25-e33b-5dad-ba54-29d43f6924e9|15fddfc6-ba86-5d52-8684-662d6a89db29
7dd64307-dbd4-533f-a2d1-b94e2cd2d36b|2d238529-aa48-5301-a1aa-fc5f03e8370d
d9a3aa25-e33b-5dad-ba54-29d43f6924e9|2d238529-aa48-5301-a1aa-fc5f03e8370d
32545439-d5a9-533d-9b41-fa0fc5274da1|2d238529-aa48-5301-a1aa-fc5f03e8370d
9552912a-4059-512a-b763-a63ac86316e2|9f7da148-c19c-57ff-8034-84b2b1588243
63c7907f-10c8-5352-98db-0816c5689d28|9f7da148-c19c-57ff-8034-84b2b1588243
5bb12fa2-b5b1-5093-b515-8eecec120a31|9f7da148-c19c-57ff-8034-84b2b1588243
04fc1ddc-1e60-5bd5-b7d4-d68dc65536d9|9f7da148-c19c-57ff-8034-84b2b1588243
bd552936-5761-5c8e-b693-91e8332deda0|15fddfc6-ba86-5d52-8684-662d6a89db29
5bb12fa2-b5b1-5093-b515-8eecec120a31|15fddfc6-ba86-5d52-8684-662d6a89db29
9552912a-4059-512a-b763-a63ac86316e2|15fddfc6-ba86-5d52-8684-662d6a89db29
3aaaeb06-8e4a-5841-bde2-cbdbee4eb221|2d238529-aa48-5301-a1aa-fc5f03e8370d
18e18e9a-fe71-5bbf-bee1-ee1394b9f786|2d238529-aa48-5301-a1aa-fc5f03e8370d
9552912a-4059-512a-b763-a63ac86316e2|2d238529-aa48-5301-a1aa-fc5f03e8370d
63c7907f-10c8-5352-98db-0816c5689d28|2d238529-aa48-5301-a1aa-fc5f03e8370d
63162715-0d07-5673-a40d-f712dd38f9bd|9f7da148-c19c-57ff-8034-84b2b1588243
fbe59545-258d-56de-a382-b6e802bacbcd|9f7da148-c19c-57ff-8034-84b2b1588243
846e1da2-2758-5129-ba87-7935e8993e88|9f7da148-c19c-57ff-8034-84b2b1588243
5427a350-871d-592a-89f5-bc345550415d|9f7da148-c19c-57ff-8034-84b2b1588243
48b7423f-33aa-5d83-a776-0e4c7b9a2497|15fddfc6-ba86-5d52-8684-662d6a89db29
846e1da2-2758-5129-ba87-7935e8993e88|15fddfc6-ba86-5d52-8684-662d6a89db29
771e5d2a-4b26-5633-b051-c75f22120075|2d238529-aa48-5301-a1aa-fc5f03e8370d
32c0d292-aed3-52c1-a4e0-0b8dbf75ede5|2d238529-aa48-5301-a1aa-fc5f03e8370d
15399c3e-65ba-5f23-9584-2e9e1fd66504|2d238529-aa48-5301-a1aa-fc5f03e8370d
d24063da-1cc8-5ada-a890-a5d08777924f|15fddfc6-ba86-5d52-8684-662d6a89db29
6bb72384-08f6-57d2-8b23-6ae69c482f4d|15fddfc6-ba86-5d52-8684-662d6a89db29
49ec190b-7f1e-508a-a0e0-882f4ef11fa3|15fddfc6-ba86-5d52-8684-662d6a89db29
9658b511-bb15-51c9-b062-be318fc65f13|2d238529-aa48-5301-a1aa-fc5f03e8370d
c44b78a0-d052-55c7-a6f9-7748a6a8c8fd|9f7da148-c19c-57ff-8034-84b2b1588243
cfcdeb8c-da12-5449-bffc-31662baba123|9f7da148-c19c-57ff-8034-84b2b1588243
2c0bcd4c-c0b2-5345-babc-6c99ed575716|9f7da148-c19c-57ff-8034-84b2b1588243
d4cb5495-53d8-530b-a7ea-9f4ca99c9340|9f7da148-c19c-57ff-8034-84b2b1588243
7bb9f83c-c187-57ae-bf9d-068e4dd0b1b5|2d238529-aa48-5301-a1aa-fc5f03e8370d
e670bbdf-1dc1-5ea6-8c30-3ccc19cbb6ab|2d238529-aa48-5301-a1aa-fc5f03e8370d
8e9d5ea8-1560-597e-8428-a214d767c54a|2d238529-aa48-5301-a1aa-fc5f03e8370d
ce76f75e-e283-54e2-89b8-a3983c67867c|9f7da148-c19c-57ff-8034-84b2b1588243
bd5a9dcc-f2e6-5fd1-94ec-38bbe4d48ed4|2d238529-aa48-5301-a1aa-fc5f03e8370d
1d4ce95b-dcc3-5ea5-8331-8bafd0dc5652|9f7da148-c19c-57ff-8034-84b2b1588243
0df8bfa4-01b3-5589-890f-86c9f6bf8181|9f7da148-c19c-57ff-8034-84b2b1588243
9e8287da-ac56-5490-9bb6-35f7baec555f|9f7da148-c19c-57ff-8034-84b2b1588243
aec8a945-6a14-5d0b-926d-ad5147e93b1e|9f7da148-c19c-57ff-8034-84b2b1588243
aec8a945-6a14-5d0b-926d-ad5147e93b1e|15fddfc6-ba86-5d52-8684-662d6a89db29
04aca63d-84f4-596a-8e6a-9e4b23e1a7df|2d238529-aa48-5301-a1aa-fc5f03e8370d
84e76f24-7cf6-52aa-a320-588d57ed1126|2d238529-aa48-5301-a1aa-fc5f03e8370d
aec8a945-6a14-5d0b-926d-ad5147e93b1e|2d238529-aa48-5301-a1aa-fc5f03e8370d
56ccb945-325e-584e-a785-c5d1710014d3|15fddfc6-ba86-5d52-8684-662d6a89db29
1e1ecc46-93dc-5646-be6f-0d9e9bb6b57e|15fddfc6-ba86-5d52-8684-662d6a89db29
6c994ec5-6f1c-5a62-aae8-5cb86eba170e|15fddfc6-ba86-5d52-8684-662d6a89db29
639cfb7b-642b-51cf-8e8a-5f2768fa2929|15fddfc6-ba86-5d52-8684-662d6a89db29
c85fcf44-cceb-50a4-bc2a-c7a4c7031fd1|9f7da148-c19c-57ff-8034-84b2b1588243
9f241666-daea-53cd-81da-157a24682dd5|9f7da148-c19c-57ff-8034-84b2b1588243
9414fe94-9f3f-5817-a520-5b53e0d0adcb|9f7da148-c19c-57ff-8034-84b2b1588243
b2ca42f0-ac03-56b6-91f4-0dcb759b0f03|9f7da148-c19c-57ff-8034-84b2b1588243
0cd5e626-1f39-53e6-bade-1a738aead29f|9f7da148-c19c-57ff-8034-84b2b1588243
cd4ebca7-2da6-5832-93da-e2adaa614523|9f7da148-c19c-57ff-8034-84b2b1588243
c786d3e3-7a48-50d3-93ec-8497bdccd773|15fddfc6-ba86-5d52-8684-662d6a89db29
3c421f4c-46ed-5be0-918d-19eab28468ee|2d238529-aa48-5301-a1aa-fc5f03e8370d
bd72dd1a-c104-53a3-acd3-bf16876bbdf4|9f7da148-c19c-57ff-8034-84b2b1588243
1ecde26b-1122-5b37-92ff-c85cfcff0386|9f7da148-c19c-57ff-8034-84b2b1588243
54241dde-3b6a-5edc-97aa-dc95d0e908b9|9f7da148-c19c-57ff-8034-84b2b1588243
bd72dd1a-c104-53a3-acd3-bf16876bbdf4|2d238529-aa48-5301-a1aa-fc5f03e8370d
6c980e0a-7abe-5276-920e-a415afb6452d|2d238529-aa48-5301-a1aa-fc5f03e8370d
