source|target
67cb5a7a-360c-521a-ace8-eefe0f4b9b0e|67cb5a7a-360c-521a-ace8-eefe0f4b9b0e
27f67358-83be-5303-b8bb-d1061e1c8d7a|9decf71d-ff1f-5bc4-b7af-b68a66db7f30
9450bf6c-14cd-5d6c-ab91-bc335d5632d3|9726b841-c12d-5529-9825-62dfb85e0ad6
9d0c0739-6c12-5284-bf33-bba8163430c6|52fb65a3-7784-5619-a706-d81a22fde108
e5d11fce-292a-56e7-a7ed-9f238b68332f|4ebd0208-8328-5d69-8c44-ec50939c0967
70cb230d-59c6-5808-9723-ed3f3ca61ecf|4ebd0208-8328-5d69-8c44-ec50939c0967
1527aba5-af6c-5d70-aff2-cafd5e0d9ffb|52fb65a3-7784-5619-a706-d81a22fde108
85503c78-2638-5081-9e38-b3d6bf9793dc|4ebd0208-8328-5d69-8c44-ec50939c0967
e9a7161d-1181-5d18-ac60-7c6474b08b8c|4303d0b6-a27d-50d0-8328-73ff56e3e689
3903e312-7d07-539a-b005-7ec5cecb18f7|27366fad-9d47-5b1a-bfa9-1b80ec201b04
3903e312-7d07-539a-b005-7ec5cecb18f7|52fb65a3-7784-5619-a706-d81a22fde108
3903e312-7d07-539a-b005-7ec5cecb18f7|4ebd0208-8328-5d69-8c44-ec50939c0967
45818540-6674-51ce-bc2f-8adaf6f0630f|52fb65a3-7784-5619-a706-d81a22fde108
6b801da8-897e-5b38-b3c0-62b4ab6077e1|4ebd0208-8328-5d69-8c44-ec50939c0967
8b5ce57c-b966-5025-98aa-d95ecaf77bc9|1b09fe6d-87f2-56b5-8e62-592071956b7e
8b5ce57c-b966-5025-98aa-d95ecaf77bc9|c5ab0417-7445-501a-8756-efac81019599
2d60f894-2aa3-5060-950d-4e1f46cb5c4c|4ebd0208-8328-5d69-8c44-ec50939c0967
408cc305-b8f9-51be-ab5f-1fd082a8a99a|4ebd0208-8328-5d69-8c44-ec50939c0967
85852c3f-c175-5812-ba30-ee301cf631cc|52fb65a3-7784-5619-a706-d81a22fde108
ce718e2b-ebfe-5cc9-8fca-fb62157ca238|72c152f4-e15c-5ac2-a216-0329667d218c
3d8063b5-69f4-5979-b144-e954152d8d9b|52fb65a3-7784-5619-a706-d81a22fde108
13d8f711-860f-5a3b-856f-ddf4b38cede7|4ebd0208-8328-5d69-8c44-ec50939c0967
7929d6b4-bd91-5a5c-bced-2e98515fa2ed|67cb5a7a-360c-521a-ace8-eefe0f4b9b0e
3ad84924-a7dd-5448-9b4e-6dc8bb5800a4|4ebd0208-8328-5d69-8c44-ec50939c0967
c299088d-2e9a-50ca-925b-e300ec8b6137|fde5343b-4323-5a25-9876-0da8bc5b3cde
bd1a2704-938f-5414-8674-1aab139f7478|67cb5a7a-360c-521a-ace8-eefe0f4b9b0e
3efa43c4-8ca4-5525-b845-da9800c7752a|a952998a-f358-5070-a0fd-118112b60df3
ac59b0f4-2fbe-5c56-962c-6d55550fed84|c5ab0417-7445-501a-8756-efac81019599
19e3d7ed-ff13-578f-9c1d-63898c64be65|538b8b34-d925-588b-bafd-53546b72f8e1
19e3d7ed-ff13-578f-9c1d-63898c64be65|4ebd0208-8328-5d69-8c44-ec50939c0967
702d43dd-9884-54f3-9d6d-396b7e7daa11|c5ab0417-7445-501a-8756-efac81019599
d99c679c-0bdc-5cd0-a780-b6a2387144eb|4ebd0208-8328-5d69-8c44-ec50939c0967
5281aa7b-edb2-5d13-8753-ad91c3a408ef|c5ab0417-7445-501a-8756-efac81019599
8cee156f-b943-5c40-a323-0e9378d6bb6b|8cee156f-b943-5c40-a323-0e9378d6bb6b
8cee156f-b943-5c40-a323-0e9378d6bb6b|4ebd0208-8328-5d69-8c44-ec50939c0967
b5ad8214-7885-571f-bb8e-d6e57eb8e8ab|52fb65a3-7784-5619-a706-d81a22fde108
b5ad8214-7885-571f-bb8e-d6e57eb8e8ab|c5ab0417-7445-501a-8756-efac81019599
b5ad8214-7885-571f-bb8e-d6e57eb8e8ab|1b09fe6d-87f2-56b5-8e62-592071956b7e
e7e98e43-7120-532e-8a59-82d95efba671|e7e98e43-7120-532e-8a59-82d95efba671
a498fff3-b5e7-57ba-a394-e166a062733e|c299088d-2e9a-50ca-925b-e300ec8b6137
591c1fa4-6885-574f-9ec4-4f7533346e25|538b8b34-d925-588b-bafd-53546b72f8e1
a2a1cf48-c344-58fc-af09-764cfb771429|4ebd0208-8328-5d69-8c44-ec50939c0967
a2a1cf48-c344-58fc-af09-764cfb771429|5829b432-9662-5411-a837-e336427be89f
177a9be5-eb78-5575-bce4-1627bac70dd3|52fb65a3-7784-5619-a706-d81a22fde108
6cadb5ff-4c2d-52eb-8d8e-94fdad69ec13|177a9be5-eb78-5575-bce4-1627bac70dd3
daf8a07d-3782-5aa0-b334-ca239d276bed|6cadb5ff-4c2d-52eb-8d8e-94fdad69ec13
daf8a07d-3782-5aa0-b334-ca239d276bed|177a9be5-eb78-5575-bce4-1627bac70dd3
71823dc4-d6a9-5723-b43b-e8a5339e7bb1|be358770-c0be-534c-aced-17cf753d2396
834a75e5-2f5f-5561-abb1-b417634df752|4ebd0208-8328-5d69-8c44-ec50939c0967
604f5a15-d233-59cf-8477-bb36074f40a1|177a9be5-eb78-5575-bce4-1627bac70dd3
05e7c88e-975a-5001-96b6-d91c44554aa7|177a9be5-eb78-5575-bce4-1627bac70dd3
fc35de3c-e353-5c3a-b35a-708a759e9f62|177a9be5-eb78-5575-bce4-1627bac70dd3
115eb991-36d6-52ae-aa0a-58952787ed43|115eb991-36d6-52ae-aa0a-58952787ed43
a5fc3e5b-c50b-558f-a371-4e7ab480df84|67cb5a7a-360c-521a-ace8-eefe0f4b9b0e
93779d64-bb41-5658-8d87-84be439b76fe|4ebd0208-8328-5d69-8c44-ec50939c0967
884b861d-4bc6-5967-8284-5cee8dc2ef80|177a9be5-eb78-5575-bce4-1627bac70dd3
172ace0f-6fd5-5170-9977-3ad8b604a923|4ebd0208-8328-5d69-8c44-ec50939c0967
d8d0fe23-0893-5a08-a133-40f719006478|d8d0fe23-0893-5a08-a133-40f719006478
d8d0fe23-0893-5a08-a133-40f719006478|177a9be5-eb78-5575-bce4-1627bac70dd3
827b1116-dc30-593b-a55c-16956c39c829|177a9be5-eb78-5575-bce4-1627bac70dd3
a02ffda1-3532-551a-ba06-81e64f58420e|177a9be5-eb78-5575-bce4-1627bac70dd3
9220e9fa-aff9-5f02-b27c-bac459f345d6|9220e9fa-aff9-5f02-b27c-bac459f345d6
421c598a-3238-5ffa-b0c1-aefbd0ecd126|177a9be5-eb78-5575-bce4-1627bac70dd3
08d59296-3c55-5705-ac55-06c20ee54089|4ebd0208-8328-5d69-8c44-ec50939c0967
08d59296-3c55-5705-ac55-06c20ee54089|177a9be5-eb78-5575-bce4-1627bac70dd3
