source|target
be358770-c0be-534c-aced-17cf753d2396|46175a36-4281-5760-b85d-4286b4d12a48
be358770-c0be-534c-aced-17cf753d2396|56b85416-d30a-53d5-958f-04e9de706651
be358770-c0be-534c-aced-17cf753d2396|719010f8-801f-5164-8955-91b8293eeb98
be358770-c0be-534c-aced-17cf753d2396|d7dc8a60-f878-5ed4-adca-90ee9bbe9f7a
be358770-c0be-534c-aced-17cf753d2396|ab75b11c-7651-5284-a37d-f6e10c0c22d7
9726b841-c12d-5529-9825-62dfb85e0ad6|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
9726b841-c12d-5529-9825-62dfb85e0ad6|3ecb5e68-11a0-530e-ba7a-2b1b82376e66
9726b841-c12d-5529-9825-62dfb85e0ad6|f6eef6d2-ec70-5ee9-9db3-0c6a6070e027
9726b841-c12d-5529-9825-62dfb85e0ad6|738e3c11-08dc-5d04-bfb7-c759616cad98
9726b841-c12d-5529-9825-62dfb85e0ad6|72d33e29-7a86-50a8-95e0-6c3b05269600
733cbb7b-b4e0-5ab1-bcc3-7e0a9fc03e2d|bb860b6a-11cd-59d6-a80c-a44adfebe9c6
733cbb7b-b4e0-5ab1-bcc3-7e0a9fc03e2d|675da448-559c-54f8-a8dd-efec315f368f
733cbb7b-b4e0-5ab1-bcc3-7e0a9fc03e2d|920291db-31ef-5f0d-87b4-5c0a63892cd6
733cbb7b-b4e0-5ab1-bcc3-7e0a9fc03e2d|f270685b-ca1a-5755-8432-7d7cd9c55b27
733cbb7b-b4e0-5ab1-bcc3-7e0a9fc03e2d|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
65f02374-90a9-5442-ba63-8eaf9f4a3903|0069ae48-1387-5e28-95f9-d2712c44fa38
65f02374-90a9-5442-ba63-8eaf9f4a3903|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
65f02374-90a9-5442-ba63-8eaf9f4a3903|dce282a2-daec-5718-8ede-acce0751f699
65f02374-90a9-5442-ba63-8eaf9f4a3903|32cc080b-cedf-5275-8dbc-917dba493f38
65f02374-90a9-5442-ba63-8eaf9f4a3903|cd8ade25-bec8-56ef-a317-da8b12b6faa7
3306aca4-d957-5366-9e95-0ef3effb3e83|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
3306aca4-d957-5366-9e95-0ef3effb3e83|7d1a95c8-91f3-52a0-a4d7-0048536ef748
3306aca4-d957-5366-9e95-0ef3effb3e83|15fddfc6-ba86-5d52-8684-662d6a89db29
3306aca4-d957-5366-9e95-0ef3effb3e83|2cb33705-db72-527d-a7df-3d7121e5da5e
3306aca4-d957-5366-9e95-0ef3effb3e83|a7ae5ec5-3231-528e-b8be-7758f7a584f2
67cb5a7a-360c-521a-ace8-eefe0f4b9b0e|0b0bcb9f-6f34-5ec4-b31a-126006a1ba90
67cb5a7a-360c-521a-ace8-eefe0f4b9b0e|0d9fcc74-c55e-56ad-8481-29149564712c
67cb5a7a-360c-521a-ace8-eefe0f4b9b0e|8a250a89-42ea-5734-bda8-53438c927288
67cb5a7a-360c-521a-ace8-eefe0f4b9b0e|59597823-3d3f-5a68-ba02-c64fb54d9f31
67cb5a7a-360c-521a-ace8-eefe0f4b9b0e|35151b70-0bd3-570d-b871-e97986a20d56
76981e98-4ec1-532c-af1b-ca87daafd1d7|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
76981e98-4ec1-532c-af1b-ca87daafd1d7|e3970ebb-2bdb-5f4a-a98f-b1c3180e2e71
76981e98-4ec1-532c-af1b-ca87daafd1d7|8ed2de42-071a-58b7-9397-9f3e1488589f
76981e98-4ec1-532c-af1b-ca87daafd1d7|e0e0710b-66de-553f-a8b7-39f6135eef06
76981e98-4ec1-532c-af1b-ca87daafd1d7|286655df-6506-5cba-86ba-815a47de719a
e9910f58-6438-556a-ba86-818ea31fb2a9|6505ab4f-3b9f-589d-b720-4f8630054b88
e9910f58-6438-556a-ba86-818ea31fb2a9|4f4cbd71-6504-563d-96bf-716d0b368d26
e9910f58-6438-556a-ba86-818ea31fb2a9|bc5aaa69-9d5e-521f-9999-7852e0a03eb7
e9910f58-6438-556a-ba86-818ea31fb2a9|22835f96-1902-570c-97c1-b20e15704a8d
e9910f58-6438-556a-ba86-818ea31fb2a9|4cfcef34-15b1-5d2c-8a53-cdab0915811b
6658781b-834e-5897-89b2-6ac85a16ed96|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
6658781b-834e-5897-89b2-6ac85a16ed96|15fddfc6-ba86-5d52-8684-662d6a89db29
6658781b-834e-5897-89b2-6ac85a16ed96|74234ac6-e110-59e1-b6c2-28f3650ecc80
6658781b-834e-5897-89b2-6ac85a16ed96|0ee44f12-26a0-52fe-93c0-61cb02f6024b
6658781b-834e-5897-89b2-6ac85a16ed96|e637312d-2df8-59f5-bb48-2fb76809418f
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|d1cf3d3f-fc74-5e65-bd65-bbc36cfd13ee
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|1401495c-25de-52dc-811e-41b2d4574604
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|03c95a48-1e75-5a89-a997-7f957088beca
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|d27c439d-bd5e-5f85-8ace-9b9d51eda495
89076307-1a7d-5a89-806d-b8e4f0992933|4b7be595-0a74-5643-9ff3-845cc1ad4fa4
89076307-1a7d-5a89-806d-b8e4f0992933|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
89076307-1a7d-5a89-806d-b8e4f0992933|9aa11e00-05f0-516c-8c77-5b13cbf6cbdb
89076307-1a7d-5a89-806d-b8e4f0992933|0acbc16c-dd23-52db-8af1-1d4640da7d8b
89076307-1a7d-5a89-806d-b8e4f0992933|a9b424d0-4ae3-52c0-b751-cb29af174335
a257e631-8655-5cb4-9a54-d897e9c2dc1d|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
a257e631-8655-5cb4-9a54-d897e9c2dc1d|9dec5dad-6637-5f50-ab24-bbb5a7827bfc
a257e631-8655-5cb4-9a54-d897e9c2dc1d|c130cd4c-fc89-5835-b5b0-44f1da09bd9d
a257e631-8655-5cb4-9a54-d897e9c2dc1d|904abffe-910d-5e5b-8637-12f1d6def4e7
a257e631-8655-5cb4-9a54-d897e9c2dc1d|2369a93b-63b5-5664-8352-bc61a1b16baf
5af0c511-cc44-57ef-aaa4-89f255fd3f59|ec91f7be-7446-53be-ac9e-dfd904a345c9
5af0c511-cc44-57ef-aaa4-89f255fd3f59|01f77dd6-c3cc-5321-aa41-00f827188fc2
5af0c511-cc44-57ef-aaa4-89f255fd3f59|754574cf-866c-5e9b-9afd-6f73892ba2c8
5af0c511-cc44-57ef-aaa4-89f255fd3f59|be360ad8-6b86-539c-b6eb-6a753832f772
5af0c511-cc44-57ef-aaa4-89f255fd3f59|41d54ac5-f7c9-5652-b5d6-50e9cba1456f
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|e1039c7b-b62e-5399-816d-e6c845d939c9
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|e73c7f1b-54ca-5dcb-9bd7-cd4beff6b369
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|86042881-078a-5410-a0f4-0dc08984e276
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|d396ad24-d1cd-57f2-98af-3d21654f45fe
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|6a2c7e8c-851e-5ded-bcf6-56d15fd47055
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|bb9cf4a3-48ea-5f1d-91fc-49e11417bee1
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|f25eb46d-4f3d-57d5-b38d-a03d5388d93c
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|803619ff-30fe-5eb6-afb0-2522fb5b7a97
52fb65a3-7784-5619-a706-d81a22fde108|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
52fb65a3-7784-5619-a706-d81a22fde108|840056cf-7959-5406-82cf-1e7a5b5aa84c
52fb65a3-7784-5619-a706-d81a22fde108|3074ce6d-a35c-5730-a256-f5ea79107eee
52fb65a3-7784-5619-a706-d81a22fde108|b9175640-7f6b-57fb-98d5-e6434450340f
52fb65a3-7784-5619-a706-d81a22fde108|e228598b-3ac3-52c5-9370-bc4856c77039
c084ee8a-70e9-55e6-8575-70787ed41d77|fe91e5b4-f20a-539b-a8ec-18650b8c7810
c084ee8a-70e9-55e6-8575-70787ed41d77|f535f6cc-aad5-5164-8fe4-38d85df3e556
c084ee8a-70e9-55e6-8575-70787ed41d77|70414204-e153-5861-ad35-03d5f62d8a4c
c084ee8a-70e9-55e6-8575-70787ed41d77|4cfcef34-15b1-5d2c-8a53-cdab0915811b
c084ee8a-70e9-55e6-8575-70787ed41d77|12d99a08-e9b7-5588-b33e-9496963e6a0b
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|53b0e13b-bb39-5bf5-9fb1-0ce731895d25
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|2f92be85-a018-5673-ad8d-6c1f9908b001
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|9526740f-2157-5d28-bfaa-0379fd1a284b
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|7c5ed6a0-a8a3-5117-8036-f9c6c2083867
c229bdbd-e157-581b-a314-c77bc8d50f49|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
c229bdbd-e157-581b-a314-c77bc8d50f49|1d6c3348-7325-57f7-a0cc-2fa117fa4dd7
c229bdbd-e157-581b-a314-c77bc8d50f49|0feb7fe7-3027-5fb2-be39-80e45c2737ec
c229bdbd-e157-581b-a314-c77bc8d50f49|6b980efd-90d0-5640-a617-a977265ccfb9
c229bdbd-e157-581b-a314-c77bc8d50f49|edf4d9bc-8daf-5ddf-8150-34fe19ff4d38
f7761cb4-452e-545f-aeaf-237ee2fdc318|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
f7761cb4-452e-545f-aeaf-237ee2fdc318|9ce466a5-a109-505c-964a-506f21eada50
f7761cb4-452e-545f-aeaf-237ee2fdc318|c3077eda-e6d0-5cbb-817d-985e7f9f7e9b
f7761cb4-452e-545f-aeaf-237ee2fdc318|1ee82aba-015a-5be7-8079-35df6194fb5c
f7761cb4-452e-545f-aeaf-237ee2fdc318|5748c86c-2471-5e1e-94c8-6ac8b3aaf3a5
e173b150-1a70-5706-995e-2e8912a9a06a|b2a5b0d0-e409-57c5-a31b-4eb97dee4568
e173b150-1a70-5706-995e-2e8912a9a06a|791fb3ab-8f64-5055-bf2b-5696f3e606a2
e173b150-1a70-5706-995e-2e8912a9a06a|0ed1613e-8bd3-59d9-a6c6-de24edfde797
e173b150-1a70-5706-995e-2e8912a9a06a|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
e173b150-1a70-5706-995e-2e8912a9a06a|9d2dd8b5-9d31-5e6c-8e5a-ec4a052e0fda
a952998a-f358-5070-a0fd-118112b60df3|580d84d9-debc-53cb-a4dd-c915c29f4a42
a952998a-f358-5070-a0fd-118112b60df3|5d9d4542-7de3-5b9d-8d1a-0a44caa5f865
a952998a-f358-5070-a0fd-118112b60df3|2212716b-38a1-5701-800d-7ac270b11a7b
a952998a-f358-5070-a0fd-118112b60df3|13e4dee0-999c-5823-8500-5d2a8c8bcc54
a952998a-f358-5070-a0fd-118112b60df3|8df528a7-0095-5005-bdc1-8567427b9ad9
434e498d-4d3a-52cb-b3a7-f49d963d97ea|380367ee-c440-5954-b809-0f294bc56d2f
434e498d-4d3a-52cb-b3a7-f49d963d97ea|9f60ecdd-c68d-5274-9fe0-d79118fec892
434e498d-4d3a-52cb-b3a7-f49d963d97ea|7bd1635b-9dbb-54d1-91cd-f79bc2f27d90
434e498d-4d3a-52cb-b3a7-f49d963d97ea|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
434e498d-4d3a-52cb-b3a7-f49d963d97ea|9a5dfb1e-b3a8-5473-bdc9-61cf47a34b35
8f6b5d57-8fbb-51d0-bfee-803b7255ac3f|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
8f6b5d57-8fbb-51d0-bfee-803b7255ac3f|db3476f5-f36e-580a-befb-e9d234ba9cf8
8f6b5d57-8fbb-51d0-bfee-803b7255ac3f|a58c5e26-df43-57ef-b341-e9ea31261af5
8f6b5d57-8fbb-51d0-bfee-803b7255ac3f|e605a480-f560-53d0-afe8-5a40e92f2d0f
8f6b5d57-8fbb-51d0-bfee-803b7255ac3f|0819dcb3-5f58-56f0-a712-bb987c150e8b
b3a18ec5-f2ac-52a9-83d7-4306481865ed|4260fed5-1f6e-5134-845f-ec9856890fab
b3a18ec5-f2ac-52a9-83d7-4306481865ed|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
b3a18ec5-f2ac-52a9-83d7-4306481865ed|145b6788-20f9-50e7-8c13-04d171d28298
b3a18ec5-f2ac-52a9-83d7-4306481865ed|2dfce6be-4d39-5e8b-bbd3-d576537a54e2
b3a18ec5-f2ac-52a9-83d7-4306481865ed|77e6166c-2f66-5bee-ab1c-56f6fe974d9c
5bf73003-ef64-5a6a-860d-4614fe34dab8|60651c0e-bc42-510c-b7a2-33f34d2fd8e9
