source|target
be358770-c0be-534c-aced-17cf753d2396|41177ff2-ba2b-5574-b663-9689498f0829
9726b841-c12d-5529-9825-62dfb85e0ad6|ef73ba98-ea7a-55c4-aa3d-e2319fc788d8
733cbb7b-b4e0-5ab1-bcc3-7e0a9fc03e2d|15a1041e-0d37-5f50-8ec5-d8617041836a
65f02374-90a9-5442-ba63-8eaf9f4a3903|21c0336e-cde4-5113-a82f-700d1f34c220
3306aca4-d957-5366-9e95-0ef3effb3e83|fc214242-7f6c-5bd1-a1a0-0a10c379cb79
67cb5a7a-360c-521a-ace8-eefe0f4b9b0e|a1081de9-8c9c-5db6-b1f1-25f26f7f6cc9
76981e98-4ec1-532c-af1b-ca87daafd1d7|c9a54ada-bdaa-5ebd-8dda-2db82861a7b3
e9910f58-6438-556a-ba86-818ea31fb2a9|20029953-02c1-5110-a649-39660e071a02
6658781b-834e-5897-89b2-6ac85a16ed96|4de87b73-8f62-5cd2-a982-6b4d7707e4d1
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|cc76b09f-595a-595c-8c43-3cce8b1ae47e
89076307-1a7d-5a89-806d-b8e4f0992933|8df236e2-a898-5b64-bdc0-1f86f3b0d5a3
a257e631-8655-5cb4-9a54-d897e9c2dc1d|4dbea1f2-ba40-5fe0-9dcd-1ee4311a0db3
5af0c511-cc44-57ef-aaa4-89f255fd3f59|928f5863-e5e3-57a0-bdd2-700ef5af02ca
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|dd08ecb9-7e43-5f66-b593-349bb0486f25
2e4c12ab-5f42-5f82-a72e-f53a0e7db647|e95bfb79-be04-5e0a-8c33-3ac619011f90
52fb65a3-7784-5619-a706-d81a22fde108|90ef7a08-f371-56a4-bc71-a2ac5e6b9f90
c084ee8a-70e9-55e6-8575-70787ed41d77|ad1a9098-7d15-51d9-a2c1-a8c5c55e40bb
9decf71d-ff1f-5bc4-b7af-b68a66db7f30|b7318371-148f-5852-99f5-e3ad9aa7f8a5
c229bdbd-e157-581b-a314-c77bc8d50f49|a2b84328-7ff9-5ddf-9bec-44d5299f5fd3
f7761cb4-452e-545f-aeaf-237ee2fdc318|8d9b1c34-9b26-5ef3-a22f-cba76d84a057
e173b150-1a70-5706-995e-2e8912a9a06a|056261d3-7d82-5a2e-b981-d6ab53817b13
a952998a-f358-5070-a0fd-118112b60df3|1f5662d1-a80c-5521-8153-7f6f4d45ca39
434e498d-4d3a-52cb-b3a7-f49d963d97ea|ee8f5128-edde-5bc6-a263-ca003381dd38
8f6b5d57-8fbb-51d0-bfee-803b7255ac3f|d68ac852-19ab-51ab-9367-dbfea0f3c81d
b3a18ec5-f2ac-52a9-83d7-4306481865ed|79ad3dee-9b50-51db-9ab2-b2266e5811b9
5bf73003-ef64-5a6a-860d-4614fe34dab8|106acd7a-c03a-566d-bd90-aec365cde3d7
84cf2b27-3459-5a7b-9984-0dfd6b2c1bdf|36b4c10e-3d16-5335-b35e-db40df93106e
7679c89c-8853-5cd5-86eb-0a7b04ce080d|ee55481a-618f-588e-ab37-3f45b01d2232
27f67358-83be-5303-b8bb-d1061e1c8d7a|293b24de-3fd7-58ea-88ad-24bc2e20e269
beb6ee34-bc87-587f-bb50-af13808badb0|3b8abb06-4287-5977-a92b-1abf749fa537
f756e97c-7e25-595a-bb8b-d84d607f0355|16abbd78-b361-5bfa-ab2b-4f64f61f1dae
d1768946-ce98-5523-95b4-e3796a85ba96|9889f8df-3138-53db-9a05-6424acdbcee7
f7fdccef-9e9c-58ac-9ee1-e0204907cefd|e2aa7024-7423-5dd9-af18-8a1f89ae72e7
38edc217-c7df-544c-ac80-f467e0b77ea7|8eb5f009-e19f-5f6b-8fe4-82aadf692e69
538b8b34-d925-588b-bafd-53546b72f8e1|a457ae18-3d53-5606-a49f-e3e1b5751f62
d33778dd-6b6a-5e6f-ac6a-c86f52877538|8462d553-c67e-5afd-8991-86e5bd2ccbc3
3dcb232d-933c-5252-95f0-db2371644e9c|033f0867-d40c-5be4-842a-982a023153b4
9450bf6c-14cd-5d6c-ab91-bc335d5632d3|61e38117-7d2e-5c00-8a88-0082fb1ba3c0
27366fad-9d47-5b1a-bfa9-1b80ec201b04|9b1a1ec9-d766-5bf7-84c2-ac516c36ea84
2791ce86-3c33-5b5f-8618-5a466a5a6ad0|e8ce73cc-9711-5cc4-bbaf-55f16f9e7a79
5acd9cab-7ca9-5a9a-bac1-6193de6bd1de|f537c3f9-6550-5fae-8fb6-f152ab9b8a21
2bcb7b9a-c93b-55f4-ba89-edbd20ba3608|762e507d-fd56-56cd-bc5e-eea417faeb2c
9d0c0739-6c12-5284-bf33-bba8163430c6|dc137c74-a8c7-580e-b8af-00996628b94f
570fb8ea-0f41-5981-9d50-255e07dad8a6|f6ad863d-cacd-54e2-bd80-87e1fbe2166e
91b5a4b1-5f95-5e8e-adf2-fb776491eef9|9eac8033-bf66-5379-9139-5b694bbbc644
36f81dac-f33e-5ad7-9b21-f831176db6dc|80170b2e-3e72-52fc-91be-b1cf2156c44c
cec41564-ffd6-5f13-918c-81b05b071186|60f92c9e-dfce-59ce-b792-384d8506e2b3
f4e88ee7-4961-5dad-ae32-6f5976edfc5e|771a2358-ddbd-531c-bc47-6ca485a4bfc1
72c152f4-e15c-5ac2-a216-0329667d218c|a89e6f7c-05f2-5332-ac18-fe82cbad6877
16b3a910-0eb4-5df9-9a8e-f8248552848d|fc4fee86-f3df-55d0-ba90-ebbb23b5664c
bd0f9f9d-79e7-58b0-8684-272ced9d62ae|8a1bb92d-9d40-57d5-bcca-e12c7c9e7186
ff894488-f94f-5bbd-9e4d-00e23974ccf1|20820f20-967e-5b90-b04b-749e1b44b231
fefdbdbf-f313-57da-bde8-657ae7d821d1|0992f71e-f38a-5a70-a8d0-1b1c1687fcbc
1fa7c5d3-113e-5195-aa84-38a5aed75444|762e507d-fd56-56cd-bc5e-eea417faeb2c
79866fc5-3bca-55ff-bd95-90a9c8e678b2|fbc45605-59c4-54fd-bac9-77fa064972a5
4303d0b6-a27d-50d0-8328-73ff56e3e689|1433a044-d92e-5b9b-bdc6-a5f774e845d5
4ebd0208-8328-5d69-8c44-ec50939c0967|18a92a79-2a69-54b6-a601-a46515bb3c63
02441855-c966-55b1-81ec-90304764011b|89dcb6f6-19d7-54b4-9352-f9dcee3678d1
fa394308-e7f7-5d9f-96e7-27cd8828a8c2|7ca268a2-0dc2-5e62-8131-5e63bf7e46d5
e5d11fce-292a-56e7-a7ed-9f238b68332f|5f2a0547-5091-54a0-a7dc-b3a40e93e0fe
