source|target|similarity
41177ff2-ba2b-5574-b663-9689498f0829|3096f822-0c1a-51b3-adbd-63b914741fcb|0.822988
41177ff2-ba2b-5574-b663-9689498f0829|3b40dd89-817d-513b-aebb-e90495766a48|0.7339569
41177ff2-ba2b-5574-b663-9689498f0829|43fcfc7d-f2f5-5659-bbb6-4b7f007fc40d|0.7225788
41177ff2-ba2b-5574-b663-9689498f0829|9ec3e4f8-13e8-5795-ac36-688426acfb8a|0.787808
41177ff2-ba2b-5574-b663-9689498f0829|8257ec1d-e83b-5101-8841-f73cd1646136|0.8031184
41177ff2-ba2b-5574-b663-9689498f0829|b8cff333-eda7-5473-b9b0-4f1a86d7fb58|0.8559234
41177ff2-ba2b-5574-b663-9689498f0829|eb1986b1-4503-51ca-a379-12d226e357a6|0.7306695
41177ff2-ba2b-5574-b663-9689498f0829|39d6aebb-d44e-5852-aab3-f851a688b67b|0.9326923
41177ff2-ba2b-5574-b663-9689498f0829|407a5316-dc19-583f-9e5e-a826c1a3fb4e|0.7294793
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|0.805453
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|20029953-02c1-5110-a649-39660e071a02|0.7578403
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|4de87b73-8f62-5cd2-a982-6b4d7707e4d1|0.74040174
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|90ef7a08-f371-56a4-bc71-a2ac5e6b9f90|0.86113393
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|1f5662d1-a80c-5521-8153-7f6f4d45ca39|0.7118729
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|61e38117-7d2e-5c00-8a88-0082fb1ba3c0|0.70228964
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|e8ce73cc-9711-5cc4-bbaf-55f16f9e7a79|0.85437196
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|762e507d-fd56-56cd-bc5e-eea417faeb2c|0.78203106
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|dc137c74-a8c7-580e-b8af-00996628b94f|0.7551694
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|771a2358-ddbd-531c-bc47-6ca485a4bfc1|0.83384264
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|8a1bb92d-9d40-57d5-bcca-e12c7c9e7186|0.80870384
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|0992f71e-f38a-5a70-a8d0-1b1c1687fcbc|0.74099
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|1433a044-d92e-5b9b-bdc6-a5f774e845d5|0.81581694
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|a910cb90-b7cc-5b4c-994c-c8e19bdedc7f|0.7234971
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|43e69129-7365-54bd-aeab-16f735763df5|0.8667417
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|6eab57c8-bff9-5da9-9a6f-473762a2e2e0|0.8175144
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|5e80ba66-736f-5eba-8a86-3514615b9192|0.8826265
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|71327753-8af1-5a2b-b8c3-029349850034|0.85326874
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|fd4d30ad-4fd3-5edb-8e83-5d784215ef14|0.76122904
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|d71cc949-4bfe-5979-ab8e-cadc2376f792|0.8646644
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|782a3cc4-5996-5527-9ebf-a843bd3d093a|0.81930685
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|e4fa5579-4d34-5eb4-ba11-ab63393faced|0.83205426
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|eeaf25ba-caa1-5780-a853-1884b3640b58|0.77100456
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|3895e0eb-b8c6-5d1f-8142-5c7817eaf269|0.79164535
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|57d35ee1-d70e-5a84-b5f8-f49f6813c9a2|0.78182757
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|397d5f2e-f24c-5e58-8055-f75f53ca7579|0.79440004
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|bb8ebec5-23b6-5eb7-860e-7068d9345c46|0.70917803
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|d3ce4611-f180-58dd-8162-4475ce4ccca4|0.87996715
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|51c6d774-b69a-50ba-9771-e5f79c792f2e|0.7457617
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|fa58c01b-0da0-5c59-9f5c-a70569d835d9|0.8305222
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|1e37a627-ca2d-55a1-9f87-24d628e28f48|0.7412174
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|eb442cd7-6de0-52c8-8469-ea55ff081ae5|0.7593682
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|6b76b77a-6834-5bbb-9578-b45444fcbb11|0.7306555
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|97b56f72-ac09-5eac-a5fa-296c3c1cc86f|0.72911865
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|a67f14c2-9ec7-5118-bea2-d3ce358c798b|0.77898747
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|2276b63d-917c-594c-ad35-c39192851a9b|0.71573
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|23feef02-912c-5090-baeb-d75d49d8a6fa|0.8034995
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|6b6ba767-2e63-504b-b72d-a4955d52135c|0.7450018
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|3cf36529-c850-580d-bf58-4503b9a4cdc2|0.8140055
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|315d78ea-3e00-5910-ba06-c617a6f56b67|0.8302982
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|2da06741-60a3-5d1c-9472-b0439c90e8ff|0.7212673
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|e6e3549d-181c-56e6-a32b-3453a7084b19|0.7278166
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|4b2039bc-2912-5a9f-8ad7-bf04d7388178|0.82537913
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|2de61511-7ba2-55e7-96b8-ada5bd7781ac|0.80654
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|31d3c86f-df1d-520a-ad1e-4c4a78647eca|0.7519523
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|9eddc0cb-9a7b-5915-b91c-7fedd1d7ea0e|0.79115635
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|bbe996d4-c0eb-5f08-a0b5-71738338c5fa|0.80547804
ef73ba98-ea7a-55c4-aa3d-e2319fc788d8|5729c3db-4f31-501f-b79c-e84d69d3d9ee|0.74603724
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|106acd7a-c03a-566d-bd90-aec365cde3d7|0.8290936
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|fc4fee86-f3df-55d0-ba90-ebbb23b5664c|0.9219665
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|e757f1a1-4196-5939-ae76-56f6eece4e64|0.8903016
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|3096f822-0c1a-51b3-adbd-63b914741fcb|0.7718634
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|9def9610-8323-55d6-a758-db761bf61501|0.96800196
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|0b530302-859a-5bd0-bd0e-3a3d7edd1b22|0.7823575
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|eb1986b1-4503-51ca-a379-12d226e357a6|0.89727944
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|277ffc69-bd44-504c-8fb9-2a160a712cd9|0.9713493
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|4df9a659-3fc9-5359-83aa-89e56f1edeb8|0.9188131
fc214242-7f6c-5bd1-a1a0-0a10c379cb79|39d6aebb-d44e-5852-aab3-f851a688b67b|0.70835626
a1081de9-8c9c-5db6-b1f1-25f26f7f6cc9|1f5662d1-a80c-5521-8153-7f6f4d45ca39|0.70432615
a1081de9-8c9c-5db6-b1f1-25f26f7f6cc9|86b8d37e-7c84-5e87-8a1b-e8872eda070e|0.79834706
a1081de9-8c9c-5db6-b1f1-25f26f7f6cc9|204952cc-3ef0-5cee-9a74-64d7d8d18698|0.82015234
a1081de9-8c9c-5db6-b1f1-25f26f7f6cc9|a0b3510a-429a-5e36-b1dd-074761891384|0.8309036
a1081de9-8c9c-5db6-b1f1-25f26f7f6cc9|992329bf-cc57-55bd-9d79-8c97d9423c4b|0.7933928
a1081de9-8c9c-5db6-b1f1-25f26f7f6cc9|2de61511-7ba2-55e7-96b8-ada5bd7781ac|0.7372593
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|20029953-02c1-5110-a649-39660e071a02|0.8028915
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|4de87b73-8f62-5cd2-a982-6b4d7707e4d1|0.7518693
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|90ef7a08-f371-56a4-bc71-a2ac5e6b9f90|0.83888817
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|1f5662d1-a80c-5521-8153-7f6f4d45ca39|0.72744536
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|36b4c10e-3d16-5335-b35e-db40df93106e|0.70050055
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|033f0867-d40c-5be4-842a-982a023153b4|0.7642462
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|61e38117-7d2e-5c00-8a88-0082fb1ba3c0|0.7028374
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|e8ce73cc-9711-5cc4-bbaf-55f16f9e7a79|0.8241306
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|762e507d-fd56-56cd-bc5e-eea417faeb2c|0.76966363
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|dc137c74-a8c7-580e-b8af-00996628b94f|0.76823443
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|771a2358-ddbd-531c-bc47-6ca485a4bfc1|0.8548235
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|8a1bb92d-9d40-57d5-bcca-e12c7c9e7186|0.72159314
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|0992f71e-f38a-5a70-a8d0-1b1c1687fcbc|0.82670945
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|1433a044-d92e-5b9b-bdc6-a5f774e845d5|0.8065263
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|a910cb90-b7cc-5b4c-994c-c8e19bdedc7f|0.75769085
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|43e69129-7365-54bd-aeab-16f735763df5|0.79779345
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|6eab57c8-bff9-5da9-9a6f-473762a2e2e0|0.8777276
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|5e80ba66-736f-5eba-8a86-3514615b9192|0.75612533
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|71327753-8af1-5a2b-b8c3-029349850034|0.8148201
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|3e960857-4808-56e3-bfb7-f0f923268327|0.714136
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|d71cc949-4bfe-5979-ab8e-cadc2376f792|0.87252975
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|782a3cc4-5996-5527-9ebf-a843bd3d093a|0.8049659
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|e4fa5579-4d34-5eb4-ba11-ab63393faced|0.8320843
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|eeaf25ba-caa1-5780-a853-1884b3640b58|0.834859
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|8224a47f-e345-5771-a671-b59e27917f01|0.7118058
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|3895e0eb-b8c6-5d1f-8142-5c7817eaf269|0.7559019
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|57d35ee1-d70e-5a84-b5f8-f49f6813c9a2|0.95242447
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|397d5f2e-f24c-5e58-8055-f75f53ca7579|0.87144184
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|d3ce4611-f180-58dd-8162-4475ce4ccca4|0.87466955
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|51c6d774-b69a-50ba-9771-e5f79c792f2e|0.79065895
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|fa58c01b-0da0-5c59-9f5c-a70569d835d9|0.80191493
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|a0b3510a-429a-5e36-b1dd-074761891384|0.7255597
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|1e37a627-ca2d-55a1-9f87-24d628e28f48|0.71741927
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|1b12b804-40ec-534c-86b4-9c5a40c563e1|0.709496
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|eb442cd7-6de0-52c8-8469-ea55ff081ae5|0.70342946
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|97b56f72-ac09-5eac-a5fa-296c3c1cc86f|0.73654944
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|cca15919-aa7f-5aca-a182-1765f96ba5a6|0.74901587
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|23feef02-912c-5090-baeb-d75d49d8a6fa|0.7528378
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|807e8c06-6071-5dc9-bf08-ca6bb848db82|0.7217787
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|6b6ba767-2e63-504b-b72d-a4955d52135c|0.7657163
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|3cf36529-c850-580d-bf58-4503b9a4cdc2|0.80091214
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|315d78ea-3e00-5910-ba06-c617a6f56b67|0.7696512
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|7ff4566d-e6e6-5a17-afca-58f38e27e864|0.8118039
c9a54ada-bdaa-5ebd-8dda-2db82861a7b3|2da06741-60a3-5d1c-9472-b0439c90e8ff|0.7791808
