id|node_type|original|summary
dafaeaff-9ce6-59af-8ffb-b6136efaf754|Dimension|In this paper, we formalize the notion of a finite trials RL problem, in which the objective is a function of the empirical state distribution induced by the agent's policy over \( n \) trials rather than its expectation over infinite trials.|Formalization of finite trials RL problem.
ed3eebff-c8a2-5df1-8fed-2f980cd47bec|Dimension|We show that this property does not hold for the convex RL formulation: a policy optimized over infinite trials can be significantly sub-optimal when deployed over finite trials.|Demonstration of sub-optimality in convex RL under finite trials.
5e9e2736-05d1-5535-803d-9d0fad4cbab6|Dimension|In particular, we prove that erroneously optimizing the infinite trials objective in place of the actual finite trials one, as it is usually done, can lead to a significant approximation error.|Proof of significant approximation error in convex RL when using infinite trials objective.
d16ed1a2-5e9b-5601-8bee-39aa4b0b0fa6|Dimension|We provide the finite trial convex RL formulation, for which we prove an upper bound on the approximation error made by optimizing the infinite trials as a proxy of the finite trials objective.|Development of finite trial convex RL formulation and proof of approximation error bounds.
b354f118-899b-5d8b-95af-a073a9d76ae9|Dimension|We corroborate this result with an additional numerical analysis showing that the approximation bound is non-vacuous for relevant applications.|Numerical validation of the theoretical findings.
0063ae72-44ee-5839-ae5c-33bc7b38c5f7|Dimension|Finally, in Section 5 we include an in-depth analysis of the single trial convex RL, which suggests that other common assumptions in the convex RL literature, i.e., that 2 the problem is always computationally tractable and that 3 stationary policies are in general sufficient, should be reconsidered as well.|Reconsideration of common assumptions in convex RL based on single trial analysis.
50291aaa-dc80-53d3-b464-326584db4683|Dimension|we propose a novel agent model for one to many concurrent bilateral negotiations in open, dynamic and unknown e market settings.|Novel agent model for concurrent negotiations.
72857c81-2695-59b8-908f-b0eb58a05a59|Dimension|we extend the existing simulation environment Alrayes et al., 2016 to generate data and perform experiments that support agent learning for negotiation.|Extension of simulation environment for data generation and experiments.
4d8612b1-822a-5c8f-8286-8123ac512098|Dimension|we run an extensive experiments showing that our approach outperforms the existing strategies and produces adaptable agents that can transfer to a range of e market settings.|Extensive experiments demonstrating superior performance and adaptability.
0934c7d4-1883-5643-879a-13c038d2fb9a|Dimension|First, we provide a comprehensive formulation for diverse types of negotiation problems in 3.1.|Comprehensive formulation for various negotiation problems.
dc72f852-5161-58ee-910b-ce0dda55652e|Dimension|Second, we propose a contextual algorithm for full bandit feedback, named Negotiation UCB (NegUCB), to learn negotiation strategies and adeptly address the exploitation-exploration dilemma and the challenge of large action spaces. Moreover, NegUCB incorporates hidden states to tackle the issue of partial observations and handles diverse acceptance functions through kernel regression.|Proposal of NegUCB, a contextual algorithm for full bandit feedback, addressing key negotiation challenges.
cfbaf922-56d8-5fe4-904f-081da37783d0|Dimension|Under mild assumptions, NegUCB's regret upper bound is guaranteed to be sub-linear with respect to the number of negotiation steps and independent of the bid cardinality, distinguishing itself from existing works on either semi-bandit or full bandit feedback.|Theoretical guarantee of sub-linear regret for NegUCB, independent of bid cardinality.
75560cfe-e0e7-56c1-b687-4248d59dd90b|Dimension|Experiments conducted on three negotiation tasks highlight the advantages and effectiveness of our method.|Empirical validation of NegUCB's effectiveness through experiments on diverse negotiation tasks.
58e2889b-2ca3-591d-a644-d5a744517f6b|Dimension|We propose CITransNet, a context integrated transformer based neural network for optimal auction design, which maintains permutation equivariance over bids and contexts while being able to find asymmetric solutions.|Propose CITransNet, a permutation-equivariant neural network for optimal auction design.
b0270ad6-491a-50db-bf8a-5a7a019eed27|Dimension|We show by extensive experiments that CITransNet can recover the known optimal solutions in single item settings, outperform strong baselines in multi-item auctions, and generalize well to cases other than those in training.|Demonstrate CITransNet's effectiveness in recovering optimal solutions and outperforming baselines in various auction settings.
acc02b68-15f3-5e6a-bcc4-ed55ca0ff9af|Dimension|To overcome the aforementioned limitations of the previous works, we propose CITransNet: a Context Integrated Transformer based neural Network architecture as the parameterized mechanism to be optimized.|Address limitations of previous works by introducing CITransNet as a parameterized mechanism.
10c20c03-3c90-5412-9bb4-dfef6d5ceffd|Dimension|We formulate the contextual auction design as a learning problem and extend the learning framework to incorporate public contextual information of bidders and items into the auction learning framework.|Formulate contextual auction design as a learning problem and incorporate public contextual information.
0f5c1fda-4826-5851-80aa-f92eb251cb14|Dimension|Furthermore, we present a sample complexity result to bound the generalization error of the learned mechanism.|Provide a sample complexity result to bound the generalization error of the learned mechanism.
046398ae-22b8-5e21-afb8-49d26efd2917|Dimension|We propose a fully differentiable module based on monotonic rational quadratic splines, which enhances the flexibility of both coupling and autoregressive transforms while retaining analytic invertibility.|Introduced a new module using monotonic rational quadratic splines that increases model flexibility and maintains analytical invertibility.
8c4df0fc-4622-5242-8c2b-953b20ebe3d6|Dimension|We demonstrate that neural spline flows improve density estimation, variational inference, and generative modeling of images.|Showed empirical improvements in density estimation, variational inference, and image generation using neural spline flows.
79944cff-ce3e-5280-a13e-2da507325bc6|Dimension|The module acts as a drop-in replacement for the affine or additive transformations commonly found in coupling and autoregressive transforms.|Provided a direct replacement for existing transformations in coupling and autoregressive models, enhancing their capabilities without altering the overall architecture.
28acda9a-a135-5c1d-9e26-78e669b9b59c|Dimension|Monotonic rational quadratic splines naturally induce multi-modality when used to transform random variables.|Highlighted the ability of the proposed splines to introduce multi-modality in transformed distributions, improving the model's representational power.
ca926ac4-81b7-553b-af26-f2bb495aec84|Dimension|In this work, we use the Wasserstein distance as a measure between the state action distributions of the expert and of the agent. Contrary to f-divergences, the Wasserstein distance is a true distance, it is smooth and it is based on the geometry of the metric space it operates on.|Utilizes Wasserstein distance for measuring expert-agent similarity, emphasizing its properties over f-divergences.
4d8da9b3-6454-59e4-88a0-e0ba550bc678|Dimension|We propose a new IL method based on a conceptually simple algorithm: Primal Wasserstein Imitation Learning (PWIL), which ties to the primal form of the Wasserstein distance between the expert and the agent state-action distributions.|Introduces PWIL, a new imitation learning method based on the primal form of the Wasserstein distance.
7cf62f90-4f8e-52db-bfa5-dfab36ca105e|Dimension|We present a reward function which is derived offline, as opposed to recent adversarial IL algorithms that learn a reward function through interactions with the environment, and which requires little fine-tuning.|Develops an offline reward function, reducing the need for fine-tuning compared to adversarial IL methods.
7e4afdcf-aa78-5ae7-a140-ee86d7f1c857|Dimension|We show that we can recover expert behavior on a variety of continuous control tasks of the MuJoCo domain in a sample-efficient manner in terms of agent interactions and of expert interactions with the environment.|Demonstrates effectiveness in recovering expert behavior across various tasks with high sample efficiency.
