id|node_type|name|settings|results
dafaeaff-9ce6-59af-8ffb-b6136efaf754|Dimension|Finite Trials vs. Infinite Trials Objective|Datasets: Simulated environments (e.g., GridWorld, CartPole) and real-world datasets (if applicable). Evaluation Metrics: Policy performance measured by the average reward, convergence rate, and stability. Baselines: Traditional RL algorithms (e.g., Q-learning, SARSA) and convex RL algorithms that assume infinite trials.|The finite trials objective showed a significant performance gap compared to the infinite trials objective, especially in environments with limited data. The policies optimized using the finite trials objective were more robust and had better generalization capabilities.
ed3eebff-c8a2-5df1-8fed-2f980cd47bec|Dimension|Impact of State Distribution on Policy Optimization|Datasets: A variety of environments with different state distributions (e.g., high-dimensional continuous spaces, discrete states). Evaluation Metrics: Policy performance, convergence speed, and robustness to changes in the environment. Baselines: Standard convex RL algorithms and non-convex RL algorithms.|Policies optimized using the state distribution-based objective showed improved performance and faster convergence in environments with complex state distributions. The improvement was particularly notable in high-dimensional and continuous state spaces.
5e9e2736-05d1-5535-803d-9d0fad4cbab6|Dimension|Application to Risk-Averse RL|Datasets: Environments with stochastic rewards and potential risks (e.g., financial trading, autonomous driving). Evaluation Metrics: Risk measures (e.g., Value at Risk, Conditional Value at Risk), reward stability, and policy robustness. Baselines: Traditional risk-averse RL algorithms and standard convex RL algorithms.|The proposed finite trials objective outperformed traditional risk-averse RL algorithms in terms of risk management and reward stability. The policies were more robust to unexpected changes in the environment, leading to better long-term performance.
50291aaa-dc80-53d3-b464-326584db4683|Dimension|Performance in One-to-Many Concurrent Bilateral Negotiations|Dataset: Synthetic market data used for pre-training and real-world e-market scenarios for testing. Environment: Simulated e-market environment where the agent engages in multiple concurrent bilateral negotiations. Baselines: Two existing well-known negotiation strategies: Concession-based Strategy, Tit-for-Tat Strategy.|The DRL-based agents achieved a higher negotiation success rate compared to both baseline strategies. The utility gain was significantly higher for the DRL agents, indicating better outcomes in terms of negotiation quality. The negotiation time was shorter for the DRL agents, suggesting more efficient negotiations. The DRL agents demonstrated better adaptability across different e-market settings, showing improved performance in dynamic environments.
72857c81-2695-59b8-908f-b0eb58a05a59|Dimension|Robustness to Market Dynamics|Dataset: Real-world e-market data with varying levels of volatility and uncertainty. Environment: Simulated e-market environment with changing market conditions. Baselines: Same as Experiment 1.|The DRL agents maintained a high negotiation success rate even in highly volatile market conditions. The utility gain remained consistently high, demonstrating the robustness of the DRL approach. The negotiation time increased slightly in more dynamic markets but was still lower than that of the baseline strategies. The DRL agents showed stable negotiation strategies, adapting effectively to changes in market dynamics.
0934c7d4-1883-5643-879a-13c038d2fb9a|Dimension|Baseline Comparison on Synthetic Data|Dataset: Synthetic data generated to simulate negotiation scenarios with varying complexities. Evaluation Metrics: Regret, which measures the difference between the optimal reward and the reward obtained by the algorithm. Baselines: UCB1 (Upper Confidence Bound), LinUCB (Linear Upper Confidence Bound), and Epsilon-Greedy.|NegUCB outperformed the baselines in terms of lower regret across different synthetic environments. The improvement was particularly significant in scenarios with high-dimensional action spaces and complex reward structures. Authors' Analysis: The superior performance of NegUCB is attributed to its ability to handle full bandit feedback and complex reward functions without constraints. The sublinear regret upper bound under mild assumptions further supports the robustness of the method. Implications: NegUCB's effectiveness in synthetic environments suggests its potential applicability to real-world negotiation tasks.
dc72f852-5161-58ee-910b-ce0dda55652e|Dimension|Real-World Negotiation Tasks|Datasets: Three real-world negotiation datasets, each representing different negotiation scenarios (e.g., resource allocation, price negotiation, and collaborative decision-making). Evaluation Metrics: Success rate, negotiation efficiency (time to reach an agreement), and fairness (equity in outcomes). Baselines: Traditional negotiation algorithms (e.g., Nash bargaining, Pareto optimization) and reinforcement learning-based methods (e.g., DQN, PPO).|NegUCB achieved higher success rates and better negotiation efficiency compared to traditional and RL-based baselines. The method also demonstrated a more equitable distribution of outcomes, indicating improved fairness. Authors' Analysis: The results highlight NegUCB's ability to balance exploration and exploitation effectively in real-world scenarios. The method's adaptability to different types of negotiation tasks and its robustness in handling partial observations and complex reward functions contribute to its success. Implications: NegUCB can be a valuable tool in various negotiation contexts, potentially improving outcomes in both automated and human-assisted negotiations.
cfbaf922-56d8-5fe4-904f-081da37783d0|Dimension|Sensitivity Analysis|Dataset: Synthetic and real-world datasets used in previous experiments. Evaluation Metrics: Regret, success rate, and negotiation efficiency. Parameters Varied: Exploration rate, reward function complexity, and action space size.|NegUCB maintained consistent performance across a range of parameter settings, showing robustness to variations. The method's performance was less sensitive to changes in exploration rate and reward function complexity compared to the baselines. Authors' Analysis: The sensitivity analysis confirms the method's stability and reliability in different conditions. The reduced sensitivity to parameter tuning makes NegUCB easier to implement and use in practical applications. Implications: NegUCB's robustness to parameter variations enhances its practical utility, making it suitable for deployment in diverse negotiation environments.
58e2889b-2ca3-591d-a644-d5a744517f6b|Dimension|Experiment 1: Single Item Auctions|Dataset: Synthetic data generated to simulate single-item auctions with varying numbers of bidders. Evaluation Metrics: Expected revenue for the auctioneer, incentive compatibility, and individual rationality. Baselines: Traditional mechanisms like the second-price auction (Vickrey auction) and other neural network-based approaches.|CITransNet was able to recover the known optimal solutions for single-item auctions, achieving expected revenue that closely matched the theoretical optimum. The model maintained incentive compatibility and individual rationality, which are crucial properties for auction mechanisms.
b0270ad6-491a-50db-bf8a-5a7a019eed27|Dimension|Experiment 2: Multi-Item Auctions|Dataset: Synthetic data for multi-item auctions, including both symmetric and asymmetric scenarios. Evaluation Metrics: Expected revenue, efficiency (total value of items allocated), and fairness (equality of bidder utility). Baselines: Traditional mechanisms like the VCG (Vickrey-Clarke-Groves) auction and other neural network-based approaches.|CITransNet outperformed strong baselines in terms of expected revenue, particularly in asymmetric settings. The model demonstrated better efficiency and fairness compared to traditional mechanisms.
acc02b68-15f3-5e6a-bcc4-ed55ca0ff9af|Dimension|Experiment 3: Generalization to Unseen Scenarios|Dataset: New synthetic data not seen during training, including different numbers of bidders and items. Evaluation Metrics: Expected revenue, generalization error, and robustness to changes in auction parameters. Baselines: Same as previous experiments.|CITransNet showed strong generalization capabilities, performing well on unseen data and maintaining high expected revenue. The model's robustness to changes in auction parameters (e.g., number of bidders, item values) was notable.
046398ae-22b8-5e21-afb8-49d26efd2917|Dimension|Density Estimation on Toy Distributions|Dataset: Synthetic toy distributions (e.g., two moons, concentric circles, and checkerboard patterns). Evaluation Metrics: Log-likelihood. Baselines: RealNVP (Dinh et al., 2017), MAF (Papamakarios et al., 2017), Planar Flows (Rezende & Mohamed, 2015)|Log-likelihood: Neural Spline Flows achieved higher log-likelihood scores compared to the baselines on all synthetic datasets. Visualizations: The authors provided visualizations showing that Neural Spline Flows more accurately captured the complex structures of the toy distributions.
8c4df0fc-4622-5242-8c2b-953b20ebe3d6|Dimension|Variational Inference|Dataset: Bayesian logistic regression on UCI datasets (e.g., Australian, German, and Heart). Evaluation Metrics: Test log-likelihood and predictive accuracy. Baselines: Mean-field approximation, Full-rank Gaussian, RealNVP, MAF|Test Log-likelihood: Neural Spline Flows achieved higher test log-likelihoods compared to mean-field and full-rank Gaussian approximations, and were competitive with RealNVP and MAF. Predictive Accuracy: Neural Spline Flows showed slight improvements in predictive accuracy over the baselines.
79944cff-ce3e-5280-a13e-2da507325bc6|Dimension|Generative Modeling of Images|Dataset: CIFAR-10 and ImageNet 32x32. Evaluation Metrics: Bits per dimension (bpd). Baselines: RealNVP, Glow (Kingma & Dhariwal, 2018), MAF|Bits per Dimension (bpd): Neural Spline Flows achieved lower bpd values compared to RealNVP and MAF, and were competitive with Glow. Sample Quality: Visual inspection of generated samples showed that Neural Spline Flows produced high-quality images with diverse and realistic features.
28acda9a-a135-5c1d-9e26-78e669b9b59c|Dimension|Sensitivity to Hyperparameters|Experiment: Ablation studies to evaluate the sensitivity of Neural Spline Flows to hyperparameters such as the number of bins in the splines and the depth of the flow.|Performance was robust to variations in the number of bins, with optimal performance observed at a moderate number of bins.
